01|6|0|0|0|+<span>+Сщмч. Теодора Ромжі, єп. Мукачівського</span><br>&Свв. чудотв. і безср. Косми й Дам’яна|<i>Ряд.:</i><br>Ап. – 2 Кор. 174 зач.; 3, 12-18. <br>Єв. – Лк. 22 зач.; 6, 1-10. <br>Свщнмч: Ап. – Євр. 334 зач.; 13, 7-16. <br>Єв. – Лк. 67 зач.; 12, 32-40.|Гл. 3
02|7|1|0|0|-<i>Неділя 21-ша по Зісланні Святого Духа.</i><br>Свв. мчч. Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста|<i>Утр.:</i><br>Єв. – Ів. 66 зач.; 21, 1-14.<br><i>Літ.:</i><br>Ап. – Гал. 203 зач.; 2, 16-20.<br>Єв. – Лк. 35 зач.; 8, 5-15.|Гл. 4. Єв. 10
03|1|0|0|0|-Свв. мчч. Акепсими, єп., Йосифа, пресвіт., і Аїтала, дияк.<br>Оновлення храму св. вмч. Юрія, що в Лідді, де спочиває його чесне тіло|Ап. – Кол. 255 зач.; 2, 13-20.<br>Єв. – Лк. 43 зач.; 9, 18-22.|Гл. 4
04|2|0|0|0|-Прп. Йоанікія Великого<br>Св. мч. Нікандра, єп. Мирського<br>Св. Єрмея, пресвіт.|Ап. – Кол. 256 зач.; 2, 20 – 3, 3.<br>Єв. – Лк. 44 зач.; 9, 23-27.|Гл. 4
05|3|0|0|0|-Свв. мчч. Галактіона і Єпістими|Ап. – Кол. 259 зач.; 3, 17 – 4, 1.<br>Єв. – Лк. 47 зач.; 9, 44-50.|Гл. 4
06|4|0|0|0|&&Св. Павла, архиєп. Царгородського, ісп.|Ап. – Кол. 260 зач.; 4, 2-9.<br>Єв. – Лк. 48 зач.; 9, 49-56.|Гл. 4
07|5|0|1|1|-Свв. тридцяти трьох мчч., що в Мелітині<br>Прп. і чудотв. Лазаря, що постив на Галисійській горі|Ап. – Кол. 261 зач.; 4, 10-18.<br>Єв. – Лк. 50 зач.; 10, 1-15.|Гл. 4
08|6|1|0|0|*<i>*Собор св. архистр. Михаїла та інших безтілесних сил</i>|<i>Утр.:</i><br>Єв. – Мт. 52 зач.; 13, 24-30; 36-43.<br><i>Літ.:</i><br><i>Собору:</i><br>Ап. – Євр. 305 зач.; 2, 2-10.<br>Єв. – Лк. 51 зач.; 10, 16-21.|Гл. 4
09|7|1|0|0|-<i>Неділя 22-га по Зісланні Святого Духа.</i><br>Свв. мчч. Онисифора й Порфирія<br>Прп. Матрони<br>Прп. Теоктисти, що з Лезви|<i>Утр.:</i><br>Єв. – Ів. 67 зач.; 21, 15-25.<br><i>Літ.:</i><br>Ап. – Гал. 215 зач.; 6, 11-18.<br>Єв. – Лк. 83 зач.; 16, 19-31.|Гл. 5. Єв. 11
10|1|0|0|0|-Свв. апп. Ераста, Олімпа, Родіона і тих, що з ними|Ап. – 1 Сол. 262 зач.; 1, 1-5.<br>Єв. – Лк. 52 зач.; 10, 22-24.|Гл. 5
11|2|0|0|0|-Свв. мчч. Мини, Віктора й Вінкентія<br>Св. мц. Стефаніди<br>Прп. й ісп. Теодора Студійського|Ап. – 1 Сол. 263 зач.; 1, 6-10.<br>Єв. – Лк. 55 зач.; 11, 1-10.|Гл. 5
12|3|1|0|0|*<span>*Св. сщмч. Йосафата, архиєп. Полоцького</span><br>&Св. Івана Милостивого, патр. Олександрійського<br>Прп. Ніла<br>Блаж. сщмч. Григорія Лакоти, єп.|<i>Утр.:</i><br>Єв. – Ів. 35 зач.; 10, 1-9.<br><i>Літ.:</i><br><i>Свщмч.:</i><br>Ап. – Євр. 311 зач.; 4, 14 – 5, 10.<br>Єв. – Ів. 36 зач.; 10, 9-16.|Гл. 5
13|4|0|0|0|+<span>+Св. Івана Золотоустого, архиєп. Царгородського</span>|<i>Утр.:</i><br>Єв. – Ів. 35 зач.; 10, 1-9.<br><i>Літ.:</i><br><i>Ряд.:</i><br>Ап. – 1 Сол. 265 зач.; 2, 9-14.<br>Єв. – Лк. 57 зач.; 11, 14-23.<br><i>Св.:</i><br>Ап. – Євр. 318 зач.; 7, 26 – 8, 2.<br>Єв. – Ів. 36 зач.; 10, 9-16.|Гл. 5
14|5|0|1|1|+<span>+Св. і всехв. ап. Филипа</span>|<i>Утр.:</i><br>Єв. – Ів. 67 зач.; 21, 15-25.<br><i>Літ.:</i><br><i>Ряд.:</i><br>Ап. – 1 Сол. 266 зач.; 2, 14-19.<br>Єв. – Лк. 58 зач.; 11, 23-26.<br><i>Ап.:</i><br>Ап. – 1 Кор. 131 зач.; 4, 9-16.<br>Єв. – Ів. 5 зач.; 1, 43-51.|Гл. 5
15|6|0|0|0|-Свв. мчч. та ісп. Гурія, Самона й Авіва<br><i>Початок Різдвяного посту</i>|Ап. – 2 Кор. 185 зач.; 8, 1-5.<br>Єв. – Лк. 36 зач.; 8, 16-21.|Гл. 5
16|7|1|0|0|+<i>Неділя 23-тя по Зісланні Святого Духа.</i><br><span>+Св. ап. і єв. Матея</span>|<i>Утр.:</i><br>Єв. – Мт. 116 зач.; 28, 16-20.<br><i>Літ.:</i><br><i>Ряд.:</i><br>Ап. – Еф. 220 зач.; 2, 4-10.<br>Єв. – Лк. 38 зач.; 8, 26-39.<br><i>Ап.:</i><br>Ап. – 1 Кор. 131 зач.; 4, 9-16.<br>Єв. – Мт. 30 зач.; 9, 9-13.|Гл. 6. Єв. 1
17|1|0|1|0|-Св. Григорія, єп. Неокесарійського, чудотв.|Ап. – 1 Сол. 267 зач.; 2, 20 – 3, 8.<br>Єв. – Лк. 59 зач.; 11, 29-33.|Гл. 6
18|2|0|1|0|-Свв. мчч. Платона й Романа|Ап. – 1 Сол. 268 зач.; 3, 9-13.<br>Єв. – Лк. 60 зач.; 11, 34-41.|Гл. 6
19|3|0|1|1|-Св. прор. Авдія<br>Св. мч. Варлаама|Ап. – 1 Сол. 269 зач.; 4, 1-12.<br>Єв. – Лк. 61 зач.; 11, 42-46.|Гл. 6
20|4|0|1|0|+<span>+Прп. Йосафати Гордашевської</span><br>Передсвяття Введення у храм Пресвятої Богородиці<br>Прп. Григорія Декаполіта<br>Св. Прокла, архиєп. Царгородського<br>Блаж. сщмч. Йосафата Коциловського, єп. Перемишльського|<i>Утр.:</i><br>Єв. – Лк. 33 зач.; 7, 36-50.<br><i>Літ.:</i><br><i>Ряд.:</i><br>Ап. – 1 Сол. 271 зач.; 5, 1-8.<br>Єв. – Лк. 62 зач.; 11, 47 – 12, 1.<br><i>Прп.:</i><br>Ап. – Гал. 203 зач.; 2, 16-20.<br>Єв. – Мт. 108 зач.; 26, 6-13.|Гл. 6
21|5|3|0|0|#<strong>#Введення у храм Пресвятої Владичиці нашої Богородиці і Приснодіви Марії</strong>|<i>Утр.:</i><br>Єв. – Лк. 4 зач.; 1, 39-49; 56.<br><i>Літ.:</i><br>Ап. – Євр. 320 зач.; 9, 1-7.<br>Єв. – Лк. 54 зач.; 10, 38-42; 11, 27-28.|Гл. 6
22|6|0|0|0|-Св. ап. Филимона і тих, що з ним|Ап. – 2 Кор. 191 зач.; 11, 1-6.<br>Єв. – Лк. 40 зач.; 9, 1-6.|Гл. 6
23|7|1|0|0|-<i>Неділя 24-та по Зісланні Святого Духа.</i><br>Свв. Амфілохія, єп. Іконійського, і Григорія, єп. Акрагантійського|<i>Утр.:</i><br>Єв. – Мр. 70 зач.; 16, 1-8.<br><i>Літ.:</i><br>Ап. – Еф. 221 зач.; 2, 14-22.<br>Єв. – Лк. 39 зач.; 8, 41-56.|Гл. 7. Єв. 2
