20230101|7|***
20230102|1|30d
20230103|2|30d
20230104|3|30d
20230105|4|30d
20230106|5|30d
20230107|6|30d
20230108|7|***
20230109|1|31d
20230110|2|31d
20230111|3|31d
20230112|4|31d
20230113|5|31d
20230114|6|31d
20230115|7|***
20230116|1|32d
20230117|2|32d
20230118|3|32d
20230119|4|32d
20230120|5|32d
20230121|6|32d
20230122|7|***
20230123|1|33d
20230124|2|33d
20230125|3|33d
20230126|4|33d
20230127|5|33d
20230128|6|33d
20230129|7|***
20230130|1|34d
20230131|2|34d
20230201|3|34d
20230202|4|34d
20230203|5|34d
20230204|6|34d
20230205|7|***
20230206|1|35d
20230207|2|35d
20230208|3|35d
20230209|4|35d
20230210|5|35d
20230211|6|35d
20230212|7|***
20230213|1|00m
20230214|2|00m
20230215|3|00m
20230216|4|00m
20230217|5|00m
20230218|6|00m
20230219|7|***
20230220|1|00s
20230221|2|00s
20230222|3|00s
20230223|4|00s
20230224|5|00s
20230225|6|00s
20230226|7|***
20230227|1|01p
20230228|2|01p
20230301|3|01p
20230302|4|01p
20230303|5|01p
20230304|6|01p
20230305|7|***
20230306|1|02p
20230307|2|02p
20230308|3|02p
20230309|4|02p
20230310|5|02p
20230311|6|02p
20230312|7|***
20230313|1|03p
20230314|2|03p
20230315|3|03p
20230316|4|03p
20230317|5|03p
20230318|6|03p
20230319|7|***
20230320|1|04p
20230321|2|04p
20230322|3|04p
20230323|4|04p
20230324|5|04p
20230325|6|04p
20230326|7|***
20230327|1|05p
20230328|2|05p
20230329|3|05p
20230330|4|05p
20230331|5|05p
20230401|6|05p
20230402|7|***
20230403|1|06p
20230404|2|06p
20230405|3|06p
20230406|4|06p
20230407|5|06p
20230408|6|06p
20230409|7|***
20230410|1|err
20230411|2|err
20230412|3|err
20230413|4|err
20230414|5|err
20230415|6|err
20230416|7|***
20230417|1|err
20230418|2|err
20230419|3|err
20230420|4|err
20230421|5|err
20230422|6|err
20230423|7|***
20230424|1|02e
20230425|2|02e
20230426|3|02e
20230427|4|02e
20230428|5|02e
20230429|6|02e
20230430|7|***
20230501|1|03e
20230502|2|03e
20230503|3|03e
20230504|4|03e
20230505|5|03e
20230506|6|03e
20230507|7|***
20230508|1|04e
20230509|2|04e
20230510|3|04e
20230511|4|04e
20230512|5|04e
20230513|6|04e
20230514|7|***
20230515|1|05e
20230516|2|05e
20230517|3|05e
20230518|4|05e
20230519|5|05e
20230520|6|05e
20230521|7|***
20230522|1|06e
20230523|2|06e
20230524|3|06e
20230525|4|06e
20230526|5|06e
20230527|6|06e
20230528|7|***
20230529|1|07e
20230530|2|07e
20230531|3|07e
20230601|4|07e
20230602|5|07e
20230603|6|07e
20230604|7|***
20230605|1|01d
20230606|2|01d
20230607|3|01d
20230608|4|01d
20230609|5|01d
20230610|6|01d
20230611|7|***
20230612|1|02d
20230613|2|02d
20230614|3|02d
20230615|4|02d
20230616|5|02d
20230617|6|02d
20230618|7|***
20230619|1|03d
20230620|2|03d
20230621|3|03d
20230622|4|03d
20230623|5|03d
20230624|6|03d
20230625|7|***
20230626|1|04d
20230627|2|04d
20230628|3|04d
20230629|4|04d
20230630|5|04d
20230701|6|04d
20230702|7|***
20230703|1|05d
20230704|2|05d
20230705|3|05d
20230706|4|05d
20230707|5|05d
20230708|6|05d
20230709|7|***
20230710|1|06d
20230711|2|06d
20230712|3|06d
20230713|4|06d
20230714|5|06d
20230715|6|06d
20230716|7|***
20230717|1|07d
20230718|2|07d
20230719|3|07d
20230720|4|07d
20230721|5|07d
20230722|6|07d
20230723|7|***
20230724|1|08d
20230725|2|08d
20230726|3|08d
20230727|4|08d
20230728|5|08d
20230729|6|08d
20230730|7|***
20230731|1|09d
20230801|2|09d
20230802|3|09d
20230803|4|09d
20230804|5|09d
20230805|6|09d
20230806|7|***
20230807|1|10d
20230808|2|10d
20230809|3|10d
20230810|4|10d
20230811|5|10d
20230812|6|10d
20230813|7|***
20230814|1|11d
20230815|2|11d
20230816|3|11d
20230817|4|11d
20230818|5|11d
20230819|6|11d
20230820|7|***
20230821|1|12d
20230822|2|12d
20230823|3|12d
20230824|4|12d
20230825|5|12d
20230826|6|12d
20230827|7|***
20230828|1|13d
20230829|2|13d
20230830|3|13d
