Місяць,Дата,#wd,"День
тижня",Мінейні святі,Префікс 1,Префікс 2,Ап1,Ап2,Єв1,Єв2
Вересень,01.09,7,нд,"Неділя 15-та по Зісланні Святого Духа. 🕂 Початок індикту, нового року Пам’ять прп. Симеона Стовпника і матері його Марти Собор Пресв. Богородиці, що в Міясинах",Ряд.:,Індикту:,#ap176,#ap282,#mt092,#lk013
Вересень,02.09,1,пн,"Тиждень 16-ий по Зісланні Святого Духа. Св. мч. Маманта Прп. Івана Посника, патр. Царгородського",,,#ap211,,#mr027,
Вересень,03.09,2,вв,"Св. сщмч. Антима, єп. Нікомидійського Прп. Теоктиста, співпосника вел. Євтимія",,,#ap212,,#mr028,
Вересень,04.09,3,ср,"Св. сщмч. Вавили, єп. Антіохійського Св. прор. й боговидця Мойсея",,,#ap214,,#mr029,
Вересень,05.09,4,чт,"🕃 Свв. прор. Захарії та прав. Єлисавети, батьків чесного Івана Предтечі Прп. Терези з Калькутти",,,#ap216,,#mr030,
Вересень,06.09,5,пт,"🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистр. Михаїла Св. мч. Євдоксія і тих, що з ним Прп. Архипа",,,#ap217,,#mr032,
Вересень,07.09,6,сб,Субота перед Воздвиженням. 🕃 Передсвяття Різдва Пресвятої Богородиці Св. мч. Созонта,Суботи:,,#ap126,,#mt039,
Вересень,08.09,7,нд,"Неділя 16-та по Зісланні Святого Духа, перед Воздвиженням. 🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії",Неділі перед Воздвиженням:,Свята:,#ap215a,#ap240,#iv009,#lk054
Вересень,09.09,1,пн,Тиждень 17-ий по Зісланні Святого Духа.</em>🕃 Свв. і правв. богоотців Йоакима й Анни Св. мч. Северіана,,,#ap219,,#mr048,
Вересень,10.09,2,вв,"Свв. мцц. Минодори, Митродори й Німфодори",,,#ap222,,#mr050,
Вересень,11.09,3,ср,Прп. Теодори Олександрійської,,,#ap223,,#mr051,
Вересень,12.09,4,чт,Св. сщмч. Автонома Віддання Різдва Пресв. Богородиці</i>,,,#ap225,,#mr052,
Вересень,13.09,5,пт,"🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого Предсвяття Воздвиження чесного й животворного Хреста Св. сщмч. Корнилія, сотника",Ряд.:,Оновлення:,#ap226,#ap307,#mr053,#mt067a
Вересень,14.09,6,сб,🕀 Всесвітнє Воздвиження чесного й животворного Хреста,,,#ap125b,,#iv060,
Вересень,15.09,7,нд,"Неділя 17-та по Зісланні Святого Духа, по Воздвиженні. 🕃 Св. вмч. Микити",По Воздвиженні:,,#ap203,,#mr037,
Вересень,16.09,1,пн,Тиждень 18-ий по Зісланні Святого Духа. 🕃 Св. вмц. Євфимії всехвальної,,,#ap227,,#lk010,
Вересень,17.09,2,вв,"Св. мц. Софії і трьох її дочок: Віри, Надії й Любові",,,#ap230,,#lk011,
Вересень,18.09,3,ср,"Прп. Євменія, єп. Гортинського, чудотв.",,,#ap231,,#lk012,
Вересень,19.09,4,чт,"Свв. мчч. Трофима, Савватія й Доримедонта",,,#ap232,,#lk013,
Вересень,20.09,5,пт,"🕃 Свв. мчч. та ісп. – вел. князя Михаїла та боярина його Теодора, чернігівських чудотв. 🕃 Св. вмч. Євстатія і тих, що з ним",,,#ap234,,#lk014,
Вересень,21.09,6,сб,"Субота по Воздвиженні. Св. ап. Кодрата, що в Магнисії Віддання Воздвиження чесного й животворного Хреста</i>",Суботи:,,#ap125c,,#iv030,
Вересень,22.09,7,нд,"Неділя 18-та по Зісланні Святого Духа. Св. сщмч. Фоки, єп. Синопійського Св. прор. Йони Прп. Йони, пресвіт.",,,#ap188,,#lk017,
Вересень,23.09,1,пн,"Тиждень 19-ий по Зісланні Святого Духа. 🕃 Зачаття чесного славн. прор., предтечі і хрестителя Господнього Івана",Ряд.:,Предтечі:,#ap235,#ap210b,#lk016,#lk002
Вересень,24.09,2,вв,🕃 Св. первмц. й рівноап. Теклі,,,#ap236,,#lk018,
Вересень,25.09,3,ср,Прп. Євфросинії,,,#ap237,,#lk021,
Вересень,26.09,4,чт,🕁 Переставл. св. ап. і єв. Івана Богослова,Ряд.:,Ап.:,#ap238,#ap073a,#lk023,#iv061b
Вересень,27.09,5,пт,"Св. мч. Калістрата і тих, що з ним Прп. Ніла, основника й ігум. монастиря Гроттаферратського",,,#ap239,,#lk024,
Вересень,28.09,6,сб,"🕂 Прп. й ісп. Харитона Св. мц. Людмили і св. В’ячеслава, князя чеського Собор прпп. отців Печерських, що споч. у бл. печерах прп. Антонія Блаж. сщмч. Никити Будки, єп.",Ряд.:,Ісп.:,#ap164,#ap176,#lk019,#lk024
Вересень,29.09,7,нд,"Неділя 19-та по Зісланні Святого Духа. 🕃 Прп. Киріака, самітника",,,#ap194,,#lk026,
Вересень,30.09,1,пн,"Тиждень 20-ий по Зісланні Святого Духа. 🕃 Св. сщмч. Григорія, єп. Великої Вірменії",,,#ap241,,#lk025,
Жовтень,01.10,2,вв,"🕀 Покров Пресвятої Богородиці Св. ап. Ананії, одного із сімдесятьох Прп. Романа Сладкопівця",Ряд.:,Свята:,#ap242,#ap320,#lk027,#lk054
Жовтень,02.10,3,ср,"🕃 Св. сщмч. Кипріана Св. мц. Юстини Св. Андрія, Христа ради юродивого",,,#ap243,,#lk028,
Жовтень,03.10,4,чт,🕃 Св. сщмч. Діонісія Ареопагіта,,,#ap244,,#lk031,
Жовтень,04.10,5,пт,"Св. сщмч. Єротея, єп. Атенського Прп. Франциска Асизького",,,#ap245,,#lk032,
Жовтень,05.10,6,сб,Св. мц. Харитини,,,#ap168,,#lk020,
Жовтень,06.10,7,нд,Неділя 20-та по Зісланні Святого Духа. 🕂 Св. і славн. ап. Томи,Ряд.:,Ап.:,#ap200,#ap131,#lk030,#iv065a
Жовтень,07.10,1,пн,Тиждень 21-ий по Зісланні Святого Духа. 🕃 Свв. мчч. Сергія і Вакха,,,#ap248,,#lk033,
Жовтень,08.10,2,вв,Прп. Пелагії,,,#ap249a,,#lk034,
Жовтень,09.10,3,ср,🕂 Св. ап. Якова Алфеєвого Прп. Андроніка і дружини його Атанасії,Ряд.:,Ап.:,#ap251,#ap131,#lk037,#lk051b
Жовтень,10.10,4,чт,Свв. мчч. Євлампія і Євлампії,,,#ap252,,#lk041,
Жовтень,11.10,5,пт,"Св. ап. Филипа, одного із семи дияконів Прп. Теофана Начертанного, єп. Нікейського і творця канонів.",,,#ap253,,#lk042,
Жовтень,12.10,6,сб,"Свв. мчч. Прова, Тараха й Андроніка Прп. Косми Святоградця, єп. Маюмського і творця канонів Пам’ять св. Мартина Милостивого, єп. Турського",,,#ap174,,#lk022,
Жовтень,13.10,7,нд,"Неділя 21-ша по Зісланні Святого Духа, Свв. Отців VII Вселенського Собору. Свв. мчч. Карпа, Папили й Агатоніки",Ряд.:,Отців:,#ap203,#ap334,#lk035,#iv056
Жовтень,14.10,1,пн,"Тиждень 22-ий по Зісланні Святого Духа. Свв. мчч. Назарія, Гервасія, Протасія й Келсія 🕃 Прп. Параскеви Терновської Блаж. сщмч. Романа Лиска, пресвіт.",,,#ap255,,#lk043,
Жовтень,15.10,2,вв,"Прп. Євтимія Нового Св. прпмч. Лук’яна, пресвіт. Великої Антіохії",,,#ap256,,#lk044,
Жовтень,16.10,3,ср,"Св. мч. Лонгина, сотника",,,#ap259,,#lk047,
Жовтень,17.10,4,чт,Св. прор. Осії Св. прпмч. Андрія Критського,,,#ap260a,,#lk048a,
Жовтень,18.10,5,пт,🕂 Св. ап. і єв. Луки,Ряд.:,Ап.:,#ap261,#ap260b,#lk050,#lk051b
Жовтень,19.10,6,сб,Св. прор. Йоїла Св. мч. Уара 🕃 Прп. Івана Рильського,,,#ap178,,#lk029,
Жовтень,20.10,7,нд,Неділя 22-га по Зісланні Святого Духа. 🕃 Св. вмч. Артемія,,,#ap215a,,#lk083,
Жовтень,21.10,1,пн,Тиждень 23-ій по Зісланні Святого Духа. 🕃 Прп. Іларіона Великого,,,#ap262,,#lk052,
Жовтень,22.10,2,вв,"Св. Івана Павла ІІ, папи Св. рівноап. Аверкія, єп. Єрапольського, чудотв. Свв. сімох отроків, що в Ефесі",,,#ap263,,#lk055,
Жовтень,23.10,3,ср,"🕃 Св. ап. Якова, брата Господнього",,,#ap264,,#lk056,
Жовтень,24.10,4,чт,"Св. мч. Арети і тих, що з ним",,,#ap265,,#lk057,
Жовтень,25.10,5,пт,Свв. мчч. і нотарів Маркіяна й Мартирія,,,#ap266,,#lk058,
Жовтень,26.10,6,сб,🕁 Св. і славн. вмч. Димитрія Мироточця,Влкмч.:,,#ap292,,#iv052,
Жовтень,27.10,7,нд,Неділя 23-тя по Зісланні Святого Духа. Св. мч. Нестора Свв. мцц. Капетоліни і рабині її Єротиїди,,,#ap220a,,#lk038,
Жовтень,28.10,1,пн,"Тиждень 24-ий по Зісланні Святого Духа. 🕃 Св. мц. Параскеви, що в Іконії, названої «П’ятниця» Свв. мчч. Терентія й Неоніли Прп. Стефана Саваїта, творця канонів",,,#ap267,,#lk059,
Жовтень,29.10,2,вв,"Переставл. прп. Аврамія, архим., Ростовського чудотв. Св. прпмц. Анастасії Римлянки Прп. Аврамія Затворника",,,#ap268,,#lk060,
Жовтень,30.10,3,ср,"Свв. мчч. Зиновія й Зиновії, сестри його Блаж. сщмч. Олексія Зарицького, пресвіт.",,,#ap269,,#lk061,
Жовтень,31.10,4,чт,"Свв. апп. Стахія, Амплія і тих, що з ними Св. мч. Єпімаха",,,#ap271,,#lk062,
Листопад,01.11,5,пт,"🕂 Сщмч. Теодора Ромжі, єп. Мукачівського 🕃 Свв. чудотв. і безср. Косми й Дам’яна",Ряд.:,Свщнмч.:,#ap272,#ap334,#lk063a,#lk067
Листопад,02.11,6,сб,"Свв. мчч. Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста",,,#ap191,,#lk040,
Листопад,03.11,7,нд,"Неділя 24-та по Зісланні Святого Духа.Глас 7. Єв. 2. Свв. мчч. Акепсими, єп., Йосифа, пресвіт., і Аїтала, дияк. Оновлення храму св. вмч. Юрія, що в Лідді, де спочиває його чесне тіло",,,#ap221,,#lk039,
Листопад,04.11,1,пн,"Тиждень 25-ий по Зісланні Святого Духа. Прп. Йоанікія Великого Св. мч. Нікандра, єп. Мирського Св. Єрмея, пресвіт.",,,#ap274a,,#lk065,
Листопад,05.11,2,вв,Свв. мчч. Галактіона і Єпістими,,,#ap274b,,#lk068,
Листопад,06.11,3,ср,"🕃 Св. Павла, аєп. Царгородського, ісп.",,,#ap275,,#lk069,
Листопад,07.11,4,чт,"Свв. тридцяти трьох мчч., що в Мелітині Прп. і чудотв. Лазаря, що постив на Галисійській горі",,,#ap276,,#lk070,
Листопад,08.11,5,пт,🕁 Собор св. архистр. Михаїла та інших безтілесних сил,,,#ap305,,#lk051b,
Листопад,09.11,6,сб,"Свв. мчч. Онисифора й Порфирія Прп. Матрони Прп. Теоктисти, що з Лезви",,,#ap199,,#lk046,
Листопад,10.11,7,нд,"Неділя 25-та по Зісланні Святого Духа. Свв. апп. Ераста, Олімпа, Родіона і тих, що з ними",,,#ap224a,,#lk053,
Листопад,11.11,1,пн,"Тиждень 26-ий по Зісланні Святого Духа. Свв. мчч. Мини, Віктора й Вінкентія Св. мц. Стефаніди Прп. й ісп. Теодора Студійського",,,#ap278,,#lk075,
Листопад,12.11,2,вв,"🕁 Св. сщмч. Йосафата, аєп. Полоцького 🕃 Св. Івана Милостивого, патр. Олександрійського Прп. Ніла Блаж. сщмч. Григорія Лакоти, єп.",Свщмч.:,,#ap311a,,#iv036,
Листопад,13.11,3,ср,"🕂 Св. Івана Золотоустого, аєп. Царгородського",Ряд.:,Св.:,#ap281,#ap318a,#lk078,#iv036
Листопад,14.11,4,чт,🕂 Св. і всехв. ап. Филипа,Ряд.:,Ап.:,#ap283,#ap131,#lk080,#iv005
Листопад,15.11,5,пт,"Свв. мчч. та ісп. Гурія, Самона й Авіва Початок Різдвяного посту</i>",,,#ap285a,,#lk082,
Листопад,16.11,6,сб,🕂 Св. ап. і єв. Матея,Ряд.:,Ап.:,#ap205,#ap131,#lk049,#mt030
Листопад,17.11,7,нд,"Неділя 26-та по Зісланні Святого Духа. Св. Григорія, єп. Неокесарійського, чудотв.",,,#ap229,,#lk066,
Листопад,18.11,1,пн,Тиждень 27-ий по Зісланні Святого Духа. Свв. мчч. Платона й Романа,,,#ap285b,,#lk086,
Листопад,19.11,2,вв,Св. прор. Авдія Св. мч. Варлаама,,,#ap286,,#lk087,
Листопад,20.11,3,ср,"🕂 Прп. Йосафати Гордашевської Передсвяття Введення у храм Пресвятої Богородиці Прп. Григорія Декаполіта Св. Прокла, аєп. Царгородського Блаж. сщмч. Йосафата Коциловського, єп. Перемишльського",Ряд.:,Прп.:,#ap287,#ap215a,#lk090,#lk083
Листопад,21.11,4,чт,🕀 Введення у храм Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,Свята:,,#ap320,,#lk054,
Листопад,22.11,5,пт,"Св. ап. Филимона і тих, що з ним",,,#ap290a,,#lk095,
Листопад,23.11,6,сб,"Свв. Амфілохія, єп. Іконійського, і Григорія, єп. Акрагантійського",,,#ap213,,#lk051a,
Листопад,24.11,7,нд,Неділя 27-ма по Зісланні Святого Духа. 🕃 Св. вмц. Катерини Св. вмч. Меркурія,,,#ap233,,#lk071,
Листопад,25.11,1,пн,"Тиждень 28-ий по Зісланні Святого Духа. Свв. сщмчч. Климента, папи Римського, і Петра, єп. Олександрійського Віддання Введення у храм Пресв. Богородиці</i>",,,#ap294,,#lk097,
Листопад,26.11,2,вв,"Прп. Аліпія Стовпника Пам’ять посвячення храму Св. вмч. Юрія, що в Києві перед воротами Св. Софії</b>",,,#ap297,,#lk098,
Листопад,27.11,3,ср,Св. вмч. Якова Перського Прп. Палладія,,,#ap299,,#lk099,
Листопад,28.11,4,чт,🕃 Прпмч. Стефана Нового Св. мч. Іринарха,,,#ap300a,,#lk100,
Листопад,29.11,5,пт,"Св. мч. Парамона Св. мч. Філумена Прп. Акакія, що згадується в «Ліствиці»",,,#ap301,,#lk101,
Листопад,30.11,6,сб,🕂 Св. всехв. ап. Андрія Первозваного,Ряд.:,Ап.:,#ap218,#ap131,#lk067,#iv004
Грудень,01.12,7,нд,Неділя 28-ма по Зісланні Святого Духа. Св. прор. Наума,,,#ap182b,,#mt062,
Грудень,02.12,1,пн,"Тиждень 29-ий по Зісланні Святого Духа. Св. прор. Аввакума Блаж. сщмч. Івана Слезюка, єп.",,,#ap308,,#lk102,
Грудень,03.12,2,вв,Св. прор. Софонії,,,#ap310,,#lk106,
Грудень,04.12,3,ср,🕃 Св. вмц. Варвари Прп. Івана Дамаскина,,,#ap312,,#lk104,
Грудень,05.12,4,чт,🕂 Прп. й богоносного Сави Освященного,Ряд.:,Прп.:,#ap315,#ap213,#lk107,#mt043
Грудень,06.12,5,пт,"🕁 Св. Миколая, аєп. Мир Ликійських, чудотв.",Св.:,,#ap335,,#lk024,
Грудень,07.12,6,сб,"Св. Амвросія, єп. Медіоланського",,,#ap220b,,#lk072,
Грудень,08.12,7,нд,Неділя 29-ма по Зісланні Святого Духа. Прп. Патапія,,,#ap257,,#lk085,
Грудень,09.12,1,пн,Тиждень 30-ий по Зісланні Святого Духа. 🕁 Непорочне Зачаття Пресв. Богородиці св. Анною,,,#ap210b,,#lk036,
Грудень,10.12,2,вв,"Свв. мчч. Мини, Єрмогена і Євграфа",,,#ap321a,,#mr034,
Грудень,11.12,3,ср,Прп. Даниїла Стовпника,,,#ap323,,#mr036,
Грудень,12.12,4,чт,"🕃 Прп. Спиридона, чудотв., єп. Трімитійського",,,#ap326,,#mr039,
Грудень,13.12,5,пт,"🕂 Свв. мчч. Євстратія, Авксентія, Євгенія, Мардарія й Ореста Св. мц. Лукії, діви",Ряд.:,Мчч.:,#ap327,#ap233,#mr041,#lk106
Грудень,14.12,6,сб,"Свв. мчч. Тирса, Левкія, Филимона, Аполлонія й Каленика",,,#ap228,,#lk074,
Грудень,15.12,7,нд,"Неділя 30-та по Зісланні Святого Духа. Свв. Праотців. 🕃 Св. Стефана ісп., аєп. Сурозького Св. сщмч. Єлевтерія Прп. Павла, що в Латрі",Праотців:,,#ap257,,#lk076,
Грудень,16.12,1,пн,Тиждень 31-ий по Зісланні Святого Духа. Св. прор. Аггея,,,#ap329a,,#mr042,
Грудень,17.12,2,вв,"🕃 Св. прор. Даниїла Свв. трьох отроків: Ананії, Азарії й Мисаїла",,,#ap333a,,#mr043,
Грудень,18.12,3,ср,"Св. мч. Севастіана і тих, що з ним",,,#ap050b,,#mr044,
Грудень,19.12,4,чт,Св. мч. Боніфатія,,,#ap051b,,#mr045,
Грудень,20.12,5,пт,🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа Св. сщмч. Ігнатія Богоносця,,,#ap052,,#mr046,
Грудень,21.12,6,сб,Субота перед Різдвом. Передсвяття Різдва Христового Св. мц. Юліанії,Суботи:,,#ap205,,#lk072,
Грудень,22.12,7,нд,Неділя 31-ша по Зісланні Святого Духа. Неділя перед Різдвом Христовим – Святих Отців. Передсвяття Різдва Христового Св. вмц. Анастасії,Святих Отців:,,#ap328,,#mt001,
Грудень,23.12,1,пн,"Тиждень 32-ий по Зісланні Святого Духа. Передсвяття Різдва Христового Свв. десятьох мчч., що в Криті",,,#ap053,,#mr048,
Грудень,24.12,2,вв,Навечір’я Різдва Христового Св. прпмц. Євгенії,,,,,,
Грудень,25.12,3,ср,🕀 Різдво Господа Бога і Спаса нашого Ісуса Христа,Літургія св. Василія Великого:,,#ap209,,#mt003,
Грудень,26.12,4,чт,"🕃 Собор Пресвятої Богородиці Св. сщмч. Євтимія, єп. Сардійського",,,#ap306,,#mt004,
Грудень,27.12,5,пт,"🕃 Св. ап., первмч. й архдияк. Стефана Прп. й ісп. Теодора Начертанного, брата Теофана, творця канонів",Первомч.:,,#ap017,,#mt087,
Грудень,28.12,6,сб,"Субота по Різдві. Свв. двадцяти тисяч мчч., спалених у Нікомидії Блаж. сщмч. Григорія Хомишина, єп. Станіславівського",Суботи:,,#ap288,,#mt046b,
Грудень,29.12,7,нд,"Неділя 32-га по Зісланні Святого Духа, по Різдві – пам'ять свв. і праведних Йосифа Обручника, Давида царя і Якова, по плоті брата Господнього. Свв. немовлят, за Христа вбитих у Вифлеємі Прп. Маркелла, ігум. монастиря невсипущих",Неділі по Різдві:,,#ap200,,#mt004,
Грудень,30.12,1,пн,"Тиждень 33-ий по Зісланні Святого Духа. Св. мц. Анісії Прп. Зотика, пресвіт. і кормителя сиріт",,,#ap181,,#mt062,
Грудень,31.12,2,вв,Прп. Меланії Римлянки Віддання Різдва Христового</i>,,,#ap208b,,#mt104,
Січень,01.01,3,ср,,,,,,,
Січень,02.01,4,чт,,,,,,,
