Місяць,Дата,#wd,"День
тижня",Мінейні святі,Префікс 1,Префікс 2,Ап1,Ап2,Єв1,Єв2,,,,,,,
Вересень,01.09,7,нд,"Неділя 10-та по Зісланні Святого Духа. 🕂 Початок індикту, нового року Пам’ять прп. Симеона Стовпника і матері його Марти Собор Пресв. Богородиці, що в Міясинах",Ряд.:,Індикту:,#ap131,#ap282,#mt072,#lk013,,Новоліттю:,Ряд.:,#ap282,#ap131,#lk013,#mt072
Вересень,02.09,1,пн,"Тиждень 11-ий по Зісланні Святого Духа. Св. мч. Маманта Прп. Івана Посника, патр. Царгородського",,,#ap171,,#mt094,,,Ряд.:,Новоліттю:,#ap131,#ap282,#mt072,#lk013
Вересень,03.09,2,вв,"Св. сщмч. Антима, єп. Нікомидійського Прп. Теоктиста, співпосника вел. Євтимія",,,#ap172,,#mt095,,,,,,,,
Вересень,04.09,3,ср,"Св. сщмч. Вавили, єп. Антіохійського Св. прор. й боговидця Мойсея",,,#ap173,,#mt096,,,,,,,,
Вересень,05.09,4,чт,"🕃 Свв. прор. Захарії та прав. Єлисавети, батьків чесного Івана Предтечі Прп. Терези з Калькутти",,,#ap175,,#mt099,,,,,,,,
Вересень,06.09,5,пт,"🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистр. Михаїла Св. мч. Євдоксія і тих, що з ним Прп. Архипа",,,#ap177,,#mt100,,,,,,,,
Вересень,07.09,6,сб,Субота перед Воздвиженням. 🕃 Передсвяття Різдва Пресвятої Богородиці Св. мч. Созонта,Суботи:,,#ap126,,#mt039,,,,,,,,
Вересень,08.09,7,нд,Неділя 11-та по Зісланні Святого Духа. 🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,Неділі перед Воздвиженням:,Свята:,#ap215a,#ap240,#iv009,#lk054,,,,,,,
Вересень,09.09,1,пн,Тиждень 12-ий по Зісланні Святого Духа. 🕃 Свв. і правв. богоотців Йоакима й Анни Св. мч. Северіана,,,#ap179,,#mr002a,,,,,,,,
Вересень,10.09,2,вв,"Свв. мцц. Минодори, Митродори й Німфодори",,,#ap180,,#mr003,,,,,,,,
Вересень,11.09,3,ср,Прп. Теодори Олександрійської,,,#ap182a,,#mr004,,,,,,,,
Вересень,12.09,4,чт,Св. сщмч. Автонома Віддання Різдва Пресв. Богородиці</i>,,,#ap183,,#mr005,,,,,,,,
Вересень,13.09,5,пт,"🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого Предсвяття Воздвиження чесного й животворного Хреста Св. сщмч. Корнилія, сотника",Ряд.:,Оновлення:,#ap184,#ap307,#mr009,#mt067a,,,,,,,
Вересень,14.09,6,сб,🕀 Всесвітнє Воздвиження чесного й животворного Хреста,,,#ap125b,,#iv060,,,,,,,,
Вересень,15.09,7,нд,"Неділя 12-та по Зісланні Святого Духа, по Воздвиженні. 🕃 Св. вмч. Микити",По Воздвиженні:,,#ap203,,#mr037,,,,,,,,
Вересень,16.09,1,пн,Тиждень 13-ий по Зісланні Святого Духа. 🕃 Св. вмц. Євфимії всехвальної,,,#ap186,,#mr011,,,,,,,,
Вересень,17.09,2,вв,"Св. мц. Софії і трьох її дочок: Віри, Надії й Любові",,,#ap187,,#mr012,,,,,,,,
Вересень,18.09,3,ср,"Прп. Євменія, єп. Гортинського, чудотв.",,,#ap189,,#mr013,,,,,,,,
Вересень,19.09,4,чт,"Свв. мчч. Трофима, Савватія й Доримедонта",,,#ap190,,#mr014,,,,,,,,
Вересень,20.09,5,пт,"🕃 Свв. мчч. та ісп. – вел. князя Михаїла та боярина його Теодора, чернігівських чудотв. 🕃 Св. вмч. Євстатія і тих, що з ним",,,#ap192,,#mr015,,,,,,,,
Вересень,21.09,6,сб,"Субота по Воздвиженні. Св. ап. Кодрата, що в Магнисії Віддання Воздвиження чесного й животворного Хреста</i>",Суботи:,Ряд.:,#ap125c,#ap126,#iv030,#mt090a,,,,,,,
Вересень,22.09,7,нд,"Неділя 13-та по Зісланні Святого Духа. Св. сщмч. Фоки, єп. Синопійського Св. прор. Йони Прп. Йони, пресвіт.",,,#ap166,,#mt087,,,,,,,,
Вересень,23.09,1,пн,"Тиждень 14-ий по Зісланні Святого Духа. 🕃 Зачаття чесного славн. прор., предтечі і хрестителя Господнього Івана",Ряд.:,Предтечі:,#ap195,#ap210b,#mr016,#lk002,,,,,,,
Вересень,24.09,2,вв,🕃 Св. первмц. й рівноап. Теклі,,,#ap196,,#mr017,,,,,,,,
Вересень,25.09,3,ср,Прп. Євфросинії,,,#ap197,,#mr018,,,,,,,,
Вересень,26.09,4,чт,🕁 Переставл. св. ап. і єв. Івана Богослова,Ряд.:,Ап.:,#ap198,#ap073a,#mr019,#iv061b,,,,,,,
Вересень,27.09,5,пт,"Св. мч. Калістрата і тих, що з ним Прп. Ніла, основника й ігум. монастиря Гроттаферратського",,,#ap201,,#mr020,,,,,,,,
Вересень,28.09,6,сб,"🕂 Прп. й ісп. Харитона Св. мц. Людмили і св. В’ячеслава, князя чеського Собор прпп. отців Печерських, що споч. у бл. печерах прп. Антонія Блаж. сщмч. Никити Будки, єп.",Ряд.:,Ісп.:,#ap130b,#ap176,#mt093,#lk024,,,,,,,
Вересень,29.09,7,нд,"Неділя 14-та по Зісланні Святого Духа. 🕃 Прп. Киріака, самітника",,,#ap170,,#mt089,,,,,,,,
Вересень,30.09,1,пн,"Тиждень 15-ий по Зісланні Святого Духа. 🕃 Св. сщмч. Григорія, єп. Великої Вірменії",,,#ap202,,#mr021,,,,,,,,
Жовтень,01.10,2,вв,"🕀 Покров Пресвятої Богородиці Св. ап. Ананії, одного із сімдесятьох Прп. Романа Сладкопівця",,,#ap320,,#lk054,,,,,,,,
Жовтень,02.10,3,ср,"🕃 Св. сщмч. Кипріана Св. мц. Юстини Св. Андрія, Христа ради юродивого",,,#ap207,,#mr023,,,,,,,,
Жовтень,03.10,4,чт,🕃 Св. сщмч. Діонісія Ареопагіта,,,#ap208a,,#mr025,,,,,,,,
Жовтень,04.10,5,пт,"Св. сщмч. Єротея, єп. Атенського Прп. Франциска Асизького",,,#ap210a,,#mr026,,,,,,,,
Жовтень,05.10,6,сб,Св. мц. Харитини,,,#ap132,,#mt097,,,,,,,,
Жовтень,06.10,7,нд,"Неділя 15-та по Зісланні Святого Духа, по Воздвиженні. 🕂 Св. і славн. ап. Томи",Ряд.:,Ап.:,#ap176,#ap131,#mt092,#iv065a,,,,,,,
Жовтень,07.10,1,пн,Тиждень 16-ий по Зісланні Святого Духа. 🕃 Свв. мчч. Сергія і Вакха,,,#ap211,,#mr027,,,,,,,,
Жовтень,08.10,2,вв,Прп. Пелагії,,,#ap212,,#mr028,,,,,,,,
Жовтень,09.10,3,ср,🕂 Св. ап. Якова Алфеєвого Прп. Андроніка і дружини його Атанасії,Ряд.:,Ап.:,#ap214,#ap131,#mr029,#lk051b,,,,,,,
Жовтень,10.10,4,чт,Свв. мчч. Євлампія і Євлампії,,,#ap216,,#mr030,,,,,,,,
Жовтень,11.10,5,пт,"Св. ап. Филипа, одного із семи дияконів Прп. Теофана Начертанного, єп. Нікейського і творця канонів",,,#ap217,,#mr032,,,,,,,,
Жовтень,12.10,6,сб,"Свв. мчч. Прова, Тараха й Андроніка Прп. Косми Святоградця, єп. Маюмського і творця канонів Пам’ять св. Мартина Милостивого, єп. Турського",,,#ap132,,#mt097,,,,,,,,
Жовтень,13.10,7,нд,"Неділя 16-та по Зісланні Святого Духа. Свв. Отців VII Вселенського Собору. Свв. мчч. Карпа, Папили й Агатоніки",Ряд.:,Отців:,#ap181,#ap334,#mt105,#iv056,,,,,,,
Жовтень,14.10,1,пн,"Тиждень 17-ий по Зісланні Святого Духа. Свв. мчч. Назарія, Гервасія, Протасія й Келсія 🕃 Прп. Параскеви Терновської Блаж. сщмч. Романа Лиска, пресвіт.",,,#ap219,,#mr048,,,,,,,,
Жовтень,15.10,2,вв,"Прп. Євтимія Нового Св. прпмч. Лук’яна, пресвіт. Великої Антіохії",,,#ap222,,#mr050,,,,,,,,
Жовтень,16.10,3,ср,"Св. мч. Лонгина, сотника",,,#ap223,,#mr051,,,,,,,,
Жовтень,17.10,4,чт,Св. прор. Осії Св. прпмч. Андрія Критського,,,#ap225,,#mr052,,,,,,,,
Жовтень,18.10,5,пт,🕂 Св. ап. і єв. Луки,Ряд.:,Ап.:,#ap226,#ap260b,#mr053,#lk051b,,,,,,,
Жовтень,19.10,6,сб,Св. прор. Йоїла Св. мч. Уара 🕃 Прп. Івана Рильського,,,#ap156,,#mt104,,,,,,,,
Жовтень,20.10,7,нд,Неділя 17-та по Зісланні Святого Духа. 🕃 Св. вмч. Артемія,,,#ap182b,,#mt062,,,,,,,,
Жовтень,21.10,1,пн,Тиждень 18-ий по Зісланні Святого Духа. 🕃 Прп. Іларіона Великого,,,#ap227,,#lk010,,,,,,,,
Жовтень,22.10,2,вв,"Св. Івана Павла ІІ, папи Св. рівноап. Аверкія, єп. Єрапольського, чудотв. Свв. сімох отроків, що в Ефесі",,,#ap230,,#lk011,,,,,,,,
Жовтень,23.10,3,ср,"🕃 Св. ап. Якова, брата Господнього",,,#ap231,,#lk012,,,,,,,,
Жовтень,24.10,4,чт,"Св. мч. Арети і тих, що з ним",,,#ap232,,#lk013,,,,,,,,
Жовтень,25.10,5,пт,Свв. мчч. і нотарів Маркіяна й Мартирія,,,#ap234,,#lk014,,,,,,,,
Жовтень,26.10,6,сб,🕁 Св. і славн. вмч. Димитрія Мироточця</i>,Влкмч.:,,#ap292,,#iv052,,,,,,,,
Жовтень,27.10,7,нд,Неділя 18-та по Зісланні Святого Духа. Св. мч. Нестора Свв. мцц. Капетоліни і рабині її Єротиїди,,,#ap188,,#lk017,,,,,,,,
Жовтень,28.10,1,пн,"Тиждень 19-ий по Зісланні Святого Духа. 🕃 Св. мц. Параскеви, що в Іконії, названої «П’ятниця» Свв. мчч. Терентія й Неоніли Прп. Стефана Саваїта, творця канонів",,,#ap235,,#lk016,,,,,,,,
Жовтень,29.10,2,вв,"Переставл. прп. Аврамія, архим., Ростовського чудотв. Св. прпмц. Анастасії Римлянки Прп. Аврамія Затворника",,,#ap236,,#lk018,,,,,,,,
Жовтень,30.10,3,ср,"Свв. мчч. Зиновія й Зиновії, сестри його Блаж. сщмч. Олексія Зарицького, пресвіт.",,,#ap237,,#lk021,,,,,,,,
Жовтень,31.10,4,чт,"Свв. апп. Стахія, Амплія і тих, що з ними Св. мч. Єпімаха",,,#ap238,,#lk023,,,,,,,,
Листопад,01.11,5,пт,,,,,,,,,,,,,,
Листопад,02.11,6,сб,,,,,,,,,,,,,,
Листопад,03.11,7,нд,,,,,,,,,,,,,,
Листопад,04.11,1,пн,,,,,,,,,,,,,,
Листопад,05.11,2,вв,,,,,,,,,,,,,,
Листопад,06.11,3,ср,,,,,,,,,,,,,,
Листопад,07.11,4,чт,,,,,,,,,,,,,,
Листопад,08.11,5,пт,,,,,,,,,,,,,,
Листопад,09.11,6,сб,,,,,,,,,,,,,,
Листопад,10.11,7,нд,,,,,,,,,,,,,,
Листопад,11.11,1,пн,,,,,,,,,,,,,,
Листопад,12.11,2,вв,,,,,,,,,,,,,,
Листопад,13.11,3,ср,,,,,,,,,,,,,,
Листопад,14.11,4,чт,,,,,,,,,,,,,,
Листопад,15.11,5,пт,,,,,,,,,,,,,,
Листопад,16.11,6,сб,,,,,,,,,,,,,,
Листопад,17.11,7,нд,,,,,,,,,,,,,,
Листопад,18.11,1,пн,,,,,,,,,,,,,,
Листопад,19.11,2,вв,,,,,,,,,,,,,,
Листопад,20.11,3,ср,,,,,,,,,,,,,,
Листопад,21.11,4,чт,,,,,,,,,,,,,,
Листопад,22.11,5,пт,,,,,,,,,,,,,,
Листопад,23.11,6,сб,,,,,,,,,,,,,,
Листопад,24.11,7,нд,,,,,,,,,,,,,,
Листопад,25.11,1,пн,,,,,,,,,,,,,,
Листопад,26.11,2,вв,,,,,,,,,,,,,,
Листопад,27.11,3,ср,,,,,,,,,,,,,,
Листопад,28.11,4,чт,,,,,,,,,,,,,,
Листопад,29.11,5,пт,,,,,,,,,,,,,,
Листопад,30.11,6,сб,,,,,,,,,,,,,,
Грудень,01.12,7,нд,,,,,,,,,,,,,,
Грудень,02.12,1,пн,,,,,,,,,,,,,,
Грудень,03.12,2,вв,,,,,,,,,,,,,,
Грудень,04.12,3,ср,,,,,,,,,,,,,,
Грудень,05.12,4,чт,,,,,,,,,,,,,,
Грудень,06.12,5,пт,,,,,,,,,,,,,,
Грудень,07.12,6,сб,,,,,,,,,,,,,,
Грудень,08.12,7,нд,,,,,,,,,,,,,,
Грудень,09.12,1,пн,,,,,,,,,,,,,,
Грудень,10.12,2,вв,,,,,,,,,,,,,,
Грудень,11.12,3,ср,,,,,,,,,,,,,,
Грудень,12.12,4,чт,,,,,,,,,,,,,,
Грудень,13.12,5,пт,,,,,,,,,,,,,,
Грудень,14.12,6,сб,,,,,,,,,,,,,,
Грудень,15.12,7,нд,,,,,,,,,,,,,,
Грудень,16.12,1,пн,,,,,,,,,,,,,,
Грудень,17.12,2,вв,,,,,,,,,,,,,,
Грудень,18.12,3,ср,,,,,,,,,,,,,,
Грудень,19.12,4,чт,,,,,,,,,,,,,,
Грудень,20.12,5,пт,,,,,,,,,,,,,,
Грудень,21.12,6,сб,,,,,,,,,,,,,,
Грудень,22.12,7,нд,,,,,,,,,,,,,,
Грудень,23.12,1,пн,,,,,,,,,,,,,,
Грудень,24.12,2,вв,,,,,,,,,,,,,,
Грудень,25.12,3,ср,,,,,,,,,,,,,,
Грудень,26.12,4,чт,,,,,,,,,,,,,,
Грудень,27.12,5,пт,,,,,,,,,,,,,,
Грудень,28.12,6,сб,,,,,,,,,,,,,,
Грудень,29.12,7,нд,,,,,,,,,,,,,,
Грудень,30.12,1,пн,,,,,,,,,,,,,,
Грудень,31.12,2,вв,,,,,,,,,,,,,,
Січень,01.01,3,ср,,,,,,,,,,,,,,
Січень,02.01,4,чт,,,,,,,,,,,,,,
Січень,03.01,5,пт,,,,,,,,,,,,,,
Січень,04.01,6,сб,,,,,,,,,,,,,,
Січень,05.01,7,нд,,,,,,,,,,,,,,
Січень,06.01,1,пн,,,,,,,,,,,,,,
Січень,07.01,2,вв,,,,,,,,,,,,,,
Січень,08.01,3,ср,,,,,,,,,,,,,,
Січень,09.01,4,чт,,,,,,,,,,,,,,
Січень,10.01,5,пт,,,,,,,,,,,,,,
Січень,11.01,6,сб,,,,,,,,,,,,,,
Січень,12.01,7,нд,,,,,,,,,,,,,,
Січень,13.01,1,пн,,,,,,,,,,,,,,
Січень,14.01,2,вв,,,,,,,,,,,,,,
Січень,15.01,3,ср,,,,,,,,,,,,,,
Січень,16.01,4,чт,,,,,,,,,,,,,,
Січень,17.01,5,пт,,,,,,,,,,,,,,
Січень,18.01,6,сб,,,,,,,,,,,,,,
Січень,19.01,7,нд,,,,,,,,,,,,,,
Січень,20.01,1,пн,,,,,,,,,,,,,,
Січень,21.01,2,вв,,,,,,,,,,,,,,
Січень,22.01,3,ср,,,,,,,,,,,,,,
Січень,23.01,4,чт,,,,,,,,,,,,,,
