Period,WeeksFrom,WeeksToLent,WeekDay,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
pentecost,32,5,7,,i,r,,,,Неділя про Закхея,Неділя про Закхея,
pentecost,33,4,7,,i,r,,,,Неділя про митаря і фарисея,Неділя про митаря і фарисея,
pentecost,34,3,7,,i,r,,,,Неділя про блудного сина,Неділя блудного сина,
pentecost,35,2,1,,i,,,,,Тиждень м'ясопусний,Тиждень м'ясопусний,
pentecost,35,2,6,,i,,,,,Субота заупокійна,Субота заупокійна,
pentecost,35,2,7,,i,r,,,,"Неділя м'ясопусна, про Сташний суд","Неділя м'ясопусна, про Сташний суд",
pentecost,36,1,1,,i,,,,,Тиждень сиропусний,Тиждень сиропусний,
pentecost,36,1,1,,i,,,,,"Субота сиропусна, всіх преподобних отців, що в подвизі просіяли","Субота сиропусна, всіх преподобних отців, що в подвизі просіяли",
pentecost,36,1,1,,i,r,,,,"Неділя сиропусна, прощення","Неділя сиропусна, прощення",
lent,1,,1,b,,,,,,Початок св. Великого Посту,Початок св. Великого Посту,
lent,1,,6,,i,,,,,Пам'ять великомученика Теодора Тирона,Пам'ять великомученика Теодора Тирона,
lent,1,,7,,i,r,,,,"Неділя 1-ша Великого Посту, Православ'я","Неділя 1-ша Великого Посту, Православ'я",
lent,2,,1,,i,,,,,Тиждень 2-ий Великого посту,Тиждень 2-ий Великого посту,
lent,2,,6,,i,,,,,Субота заупокійна,Субота заупокійна,
lent,2,,7,,i,r,,,,Неділя 2-ша Великого Посту,Неділя 2-ша Великого Посту,
lent,3,,1,,i,,,,,Тиждень 3-ий Великого посту,Тиждень 3-ий Великого посту,
lent,3,,6,,i,,,,,Субота заупокійна,Субота заупокійна,
lent,3,,7,,i,r,,,,"Неділя 3-ша Великого Посту, Хрестопоклонна","Неділя 3-ша Великого Посту, Хрестопоклонна",
lent,4,,1,,i,,,,,Тиждень 4-ий Великого посту,Тиждень 4-ий Великого посту,
lent,4,,6,,i,,,,,Субота заупокійна,Субота заупокійна,
lent,4,,7,,i,r,,,,"Неділя 4-ша Великого Посту, преподобного Івана Ліствичника","Неділя 4-ша Великого Посту, преподобного Івана Ліствичника",
lent,5,,1,,i,,,,,Тиждень 5-ий Великого посту,Тиждень 5-ий Великого посту,
lent,5,,6,,i,,,,,Субота акафістова,Субота акафістова,
