Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,,,,,,VLOOKUP,,,Місяць,День,Ім'я
9,1,,,r,🕂,+,&dagger;,"🕂 Початок індикту, нового року","🕂 Початок індикту, нового року",Начало Індикта,,,91,Начало Індикта,,Начало Індикта,,91,9,1,Начало Індикта
9,1,,,,,,,Пам’ять прп. Симеона Стовпника і матері його Марти,Пам’ять преподобного отця нашого Симеона Стовпника і матері його Марти,,,,91,Начало Індикта,,Начало Індикта,,92,9,2,Маманта. Йоана Посника
9,1,,,,,,,"Собор Пресв. Богородиці, що в Міясинах","Собор Пресвятої Богородиці, що в Міясинах",,,,91,Начало Індикта,,Начало Індикта,,93,9,3,Антима
9,2,,,,,,,Св. мч. Маманта,Святого мученика Маманта,Маманта,,,92,Маманта. Йоана Посника,,Маманта. Йоана Посника,,94,9,4,Вавили
9,2,,,,,,,"Прп. Івана Посника, патр. Царгородського","Преподобного отця нашого Івана Посника, патріарха Царгородського",Івана Посника,,,92,Маманта. Йоана Посника,,Маманта. Йоана Посника,,95,9,5,прор. Захарії
9,3,,,,,,,"Св. сщмч. Антима, єп. Нікомидійського","Святого священномученика Антима, єпископа Нікомидійського",Антима,,,93,Антима,,Антима,,96,9,6,чудо арх. Михаїла
9,3,,,,,,,"Прп. Теоктиста, співпосника вел. Євтимія","Преподобного отця нашого Теоктиста, співпосника великого Євтимія",,,,93,Антима,,Антима,,97,9,7,передсв.Різдва. Созонта
9,4,,,,,,,"Св. сщмч. Вавили, єп. Антіохійського","Святого священномученика Вавили, єпископа Антіохійського",Вавили,,,94,Вавили,,Вавили,,98,9,8,Різдво Богородиці
9,4,,,,,,,Св. прор. й боговидця Мойсея,Святого пророка й боговидця Мойсея,,,,94,Вавили,,Вавили,,99,9,9,Йоакима і Анни
9,5,,,,🕃,&,,"🕃 Свв. прор. Захарії та прав. Єлисавети, батьків чесного Івана Предтечі","🕃 Святих пророка Захарії та праведної Єлисавети, батьків чесного Івана Предтечі",прор. Захарії,,,95,прор. Захарії,,прор. Захарії,,910,9,10,"мчц.Минодори, Митродори і Німфодори"
9,5,,,,,,,Прп. Терези з Калькутти,Преподобної матері нашої Терези з Калькутти,,,,95,прор. Захарії,,прор. Захарії,,911,9,11,Теодори
9,6,,,,🕃,&,,"🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистр. Михаїла","🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистратига Михаїла",чудо арх. Михаїла,,,96,чудо арх. Михаїла,,чудо арх. Михаїла,,912,9,12,Віддання Різдва Богородиці.
9,6,,,,,,,"Св. мч. Євдоксія і тих, що з ним","Святого мученика Євдоксія і тих, що з ним",,,,96,чудо арх. Михаїла,,чудо арх. Михаїла,,913,9,13,Оновлення-Корнилія
9,6,,,,,,,Прп. Архипа,Преподобного отця нашого Архипа,,,,96,чудо арх. Михаїла,,чудо арх. Михаїла,,914,9,14,Воздвиження Хреста
9,7,,,,🕃,&,,🕃 Передсвяття Різдва Пресвятої Богородиці,🕃 Передсвяття Різдва Пресвятої Богородиці,передсв.Різдва,,,97,передсв.Різдва. Созонта,,передсв.Різдва. Созонта,,915,9,15,Микити
9,7,,,,,,,Св. мч. Созонта,Святого мученика Созонта,Созонта,,,97,передсв.Різдва. Созонта,,передсв.Різдва. Созонта,,916,9,16,Євфимії
9,8,b,,r,🕀,#,&oplus;,🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,Різдво Богородиці,,,98,Різдво Богородиці,,Різдво Богородиці,,917,9,17,"Софії, Віри, Надії, Любові."
9,9,,,,🕃,&,,🕃 Свв. і правв. богоотців Йоакима й Анни,🕃 Святих і праведних богоотців Йоакима й Анни,Йоакима і Анни,,,99,Йоакима і Анни,,Йоакима і Анни,,918,9,18,Євменія
9,9,,,,,,,Св. мч. Северіана,Святого мученика Северіана,,,,99,Йоакима і Анни,,Йоакима і Анни,,919,9,19,"Трофима, Савватія, Доримедонта"
9,10,,,,,,,"Свв. мцц. Минодори, Митродори й Німфодори","Святих мучениць Минодори, Митродори й Німфодори","мччц.Минодори, Митродори і Німфодори",,,910,"мчц.Минодори, Митродори і Німфодори",,"мчц.Минодори, Митродори і Німфодори",,920,9,20,Теодора Чернігівського
9,11,,,,,,,Прп. Теодори Олександрійської,Преподобної матері нашої Теодори Олександрійської,Теодори,,,911,Теодори,,Теодори,,921,9,21,Віддання Воздвиження
9,12,,,,,,,Св. сщмч. Автонома,Святого священномученика Автонома,,,,912,Віддання Різдва Богородиці.,,Віддання Різдва Богородиці.,,922,9,22,Фоки
9,12,,i,r,,,,Віддання Різдва Пресв. Богородиці,У цей день віддається свято Різдва Пресвятої Богородиці,Віддання Різдва Богородиці,,,912,Віддання Різдва Богородиці.,,Віддання Різдва Богородиці.,,923,9,23,Зачаття Йоана Предтечі
9,13,,,r,🕃,@,,🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого,🕃 Пам’ять оновлення храму Святого Воскресіння Христа і Бога нашого,Оновлення,,,913,Оновлення-Корнилія,,Оновлення-Корнилія,,924,9,24,первом. Теклі
9,13,,,,,,,Предсвяття Воздвиження чесного й животворного Хреста,Предсвяття Воздвиження чесного й животворного Хреста,,,,913,Оновлення-Корнилія,,Оновлення-Корнилія,,925,9,25,Євфросинії
9,13,,,,,,,"Св. сщмч. Корнилія, сотника","Святого священномученика Корнилія, сотника",Корнилія,,,913,Оновлення-Корнилія,,Оновлення-Корнилія,,926,9,26,Йоана Богослова
9,14,b,,r,🕀,#,&oplus;,🕀 Всесвітнє Воздвиження чесного й животворчого Хреста,🕀 Всесвітнє Воздвиження чесного й животворчого Хреста,Воздвиження Хреста,,,914,Воздвиження Хреста,,Воздвиження Хреста,,927,9,27,Калістрата
9,15,,,,🕃,&,,🕃 Св. вмч. Микити,🕃 Святого великомученика Микити,Микити,,,915,Микити,,Микити,,928,9,28,Харитона
9,16,,,,🕃,&,,🕃 Св. вмц. Євфимії всехвальної,🕃 Святої великомучениці Євфимії всехвальної,Євфимії,,,916,Євфимії,,Євфимії,,929,9,29,Киріяка
