month,date,day,Кількість стихир Мінеї,"Слава, І нині",Заг. служба,Ім'я в кл. від.,Коментар
3,2024.03.01,5,,,,,
3,2024.03.02,6,,,,,
3,2024.03.03,7,,,,,
3,2024.03.04,1,,,,,
3,2024.03.05,2,,,,,
3,2024.03.06,3,,,,,
3,2024.03.07,4,,,,,
3,2024.03.08,5,,,,,
3,2024.03.09,6,,,,,
3,2024.03.10,7,,,,,
3,2024.03.11,1,,,,,
3,2024.03.12,2,,,,,
3,2024.03.13,3,,,,,
3,2024.03.14,4,,,,,
3,2024.03.15,5,,,,,
3,2024.03.16,6,,,,,
3,2024.03.17,7,,,,,
3,2024.03.18,1,,,,,
3,2024.03.19,2,3,y,,,
3,2024.03.20,3,3,y,,,
3,2024.03.21,4,3,y,,,
3,2024.03.22,5,3,y,,,
3,2024.03.23,6,0,n,,,Лазарева Субота
3,2024.03.24,7,0,n,,,Квітна Неділя
3,2024.03.25,1,0,n,,,Страсний Тиждень
3,2024.03.26,2,0,n,,,Страсний Тиждень
3,2024.03.27,3,0,n,,,Страсний Тиждень
3,2024.03.28,4,0,n,,,Страсний Тиждень
3,2024.03.29,5,0,n,,,Страсний Тиждень
3,2024.03.30,6,0,n,,,Страсний Тиждень
3,2024.03.31,7,0,n,,,Страсний Тиждень
6,2024.06.01,6,3,n,мученика,Юстине,
6,2024.06.02,7,0,n,,,
6,2024.06.03,1,3,n,,,
6,2024.06.04,2,3,n,,,
6,2024.06.05,3,0,n,,,віддання
6,2024.06.06,4,3,n,,,
6,2024.06.07,5,3,n,священномученика,Теодота,
6,2024.06.08,6,3,n,мученика,Теодора,
6,2024.06.09,7,0,n,,,сліпорожденного
6,2024.06.10,1,3,n,,,
6,2024.06.11,2,0,n,,,
6,2024.06.12,3,0,n,,,віддання Пасхи
6,2024.06.13,4,0,n,,,Вознесіння
6,2024.06.14,5,3,n,пророка,Єлисея,
6,2024.06.15,6,3,n,пророка,Амоса,
6,2024.06.16,7,0,n,,,Отців
6,2024.06.17,1,6,n,,,2
6,2024.06.18,2,3,n,,,
6,2024.06.19,3,0,n,,,
6,2024.06.20,4,3,n,,,
6,2024.06.21,5,0,n,,,Віддання Вознесіння
6,2024.06.22,6,0,n,,,зауп
6,2024.06.23,7,0,n,,,Трійця
6,2024.06.24,1,0,n,,,Св. Духа
6,2024.06.25,2,0,n,,,Предтечі
6,2024.06.26,3,3,n,,,
6,2024.06.27,4,0,n,,,
6,2024.06.28,5,3,n,безсрібників,Кире та Йоане,6
6,2024.06.29,6,0,n,,,ПП
6,2024.06.30,7,0,n,,,всіх святих
