month,date,day,special,тропар1,тропар2,слава,І нині,
9,2024.09.01,7,y,,resurrection,saint,,
9,2024.09.02,1,,,saint,saint,theotokos,
9,2024.09.03,2,,,saint,,theotokos,
9,2024.09.04,3,,,saint,saint,theotokos,
9,2024.09.05,4,,,saint,,theotokos,
9,2024.09.06,5,,,saint,,theotokos,6
9,2024.09.07,6,y,,,,,6
9,2024.09.08,7,,,resurrection,,feast,
9,2024.09.09,1,y,,,,,
9,2024.09.10,2,y,,,,,
9,2024.09.11,3,y,,,,,
9,2024.09.12,4,y,,,,,
9,2024.09.13,5,y,,,,,
9,2024.09.14,6,y,,,,,
9,2024.09.15,7,y,,resurrection,saint,,
9,2024.09.16,1,y,,,,,
9,2024.09.17,2,y,,,,,
9,2024.09.18,3,y,,,,,
9,2024.09.19,4,y,,,,,
9,2024.09.20,5,y,,,,,
9,2024.09.21,6,y,,,,,
9,2024.09.22,7,,,resurrection,saint,theotokos,
9,2024.09.23,1,y,,,,,
9,2024.09.24,2,,,saint,,theotokos,6
9,2024.09.25,3,,,saint,,theotokos,
9,2024.09.26,4,y,,,,,
9,2024.09.27,5,,,saint,saint,theotokos,
9,2024.09.28,6,y,,,,,
9,2024.09.29,7,,,resurrection,saint,theotokos,
9,2024.09.30,1,,,saint,,theotokos,
11,2023.11.01,3,y,,,,,
11,2023.11.02,4,,,saint,,theotokos,
11,2023.11.03,5,,,saint,,theotokos,
11,2023.11.04,6,,,saint,,theotokos,
11,2023.11.05,7,,,resurrection,,theotokos,
11,2023.11.06,1,,,saint,,theotokos,
11,2023.11.07,2,,,saint,,theotokos,
11,2023.11.08,3,y,,,,,
11,2023.11.09,4,,,saint,,theotokos,
11,2023.11.10,5,,,saint,,theotokos,
11,2023.11.11,6,,,saint,,theotokos,
11,2023.11.12,7,y,,,,,
11,2023.11.13,1,y,,,,,
11,2023.11.14,2,y,,,,,
11,2023.11.15,3,,,saint,,theotokos,
11,2023.11.16,4,y,,,,,
11,2023.11.17,5,,,saint,,theotokos,
11,2023.11.18,6,,,saint,,theotokos,
11,2023.11.19,7,,,resurrection,,theotokos,
11,2023.11.20,1,y,,,,,
11,2023.11.21,2,y,,,,,
11,2023.11.22,3,y,,,,,
11,2023.11.23,4,y,,,,,
11,2023.11.24,5,y,,,,,
11,2023.11.25,6,y,,,,,
11,2023.11.26,7,y,,,,,
11,2023.11.27,1,y,,,,,
11,2023.11.28,2,y,,,,,
11,2023.11.29,3,y,,,,,
11,2023.11.30,4,y,,,,,
12,2023.12.01,5,,,saint,,theotokos,
12,2023.12.02,6,,,saint,,theotokos,
12,2023.12.03,7,,,resurrection,,theotokos,
12,2023.12.04,1,,,saint,,theotokos,
12,2023.12.05,2,y,,,,,
12,2023.12.06,3,y,,,,,
12,2023.12.07,4,,,saint,,theotokos,
12,2023.12.08,5,,,saint,,theotokos,
12,2023.12.09,6,y,,,,,
12,2023.12.10,7,,,resurrection,,theotokos,
12,2023.12.11,1,,,saint,,theotokos,
12,2023.12.12,2,,,saint,,theotokos,
12,2023.12.13,3,y,,,,,
12,2023.12.14,4,,,saint,,theotokos,
12,2023.12.15,5,,,saint,,theotokos,
12,2023.12.16,6,,,saint,,theotokos,
12,2023.12.17,7,,,resurrection,,theotokos,
12,2023.12.18,1,,,saint,,theotokos,
12,2023.12.19,2,,,saint,,theotokos,
12,2023.12.20,3,y,,,,,
12,2023.12.21,4,y,,,,,
12,2023.12.22,5,y,,,,,
12,2023.12.23,6,y,,,,,
12,2023.12.24,7,y,,,,,
12,2023.12.25,1,y,,,,,
12,2023.12.26,2,y,,,,,
12,2023.12.27,3,y,,,,,
12,2023.12.28,4,y,,,,,
12,2023.12.29,5,y,,,,,
12,2023.12.30,6,y,,,,,
12,2023.12.31,7,y,,,,,
1,2024.01.01,1,y,,,,,
1,2024.01.02,2,y,,,,,
1,2024.01.03,3,y,,,,,
1,2024.01.04,4,y,,,,,
1,2024.01.05,5,y,,,,,
1,2024.01.06,6,y,,,,,
1,2024.01.07,7,y,,,,,
1,2024.01.08,1,y,,,,,
1,2024.01.09,2,y,,,,,
1,2024.01.10,3,y,,,,,
1,2024.01.11,4,y,,,,,
1,2024.01.12,5,y,,,,,
1,2024.01.13,6,y,,,,,
1,2024.01.14,7,y,,,,,
1,2024.01.15,1,n,,saint,,theotokos,
1,2024.01.16,2,n,,saint,,theotokos,
1,2024.01.17,3,y,,,,,
1,2024.01.18,4,n,,saint,,theotokos,
1,2024.01.19,5,n,,saint,,theotokos,
1,2024.01.20,6,y,,,,,
1,2024.01.21,7,n,resurrection,saint,,theotokos,
1,2024.01.22,1,n,,saint,,theotokos,
1,2024.01.23,2,y,,,,,
1,2024.01.24,3,n,,saint,,theotokos,
1,2024.01.25,4,y,,,,,
1,2024.01.26,5,n,,saint,,theotokos,
1,2024.01.27,6,y,,,,,
1,2024.01.28,7,n,,resurrection,,theotokos,
1,2024.01.29,1,n,,saint,,theotokos,
