month,date,day,special,тропар1,тропар2,слава,І нині,
11,2023.11.01,3,y,,,,,
11,2023.11.02,4,,,saint,,theotokos,
11,2023.11.03,5,,,saint,,theotokos,
11,2023.11.04,6,,,saint,,theotokos,
11,2023.11.05,7,,,resurrection,,theotokos,
11,2023.11.06,1,,,saint,,theotokos,
11,2023.11.07,2,,,saint,,theotokos,
11,2023.11.08,3,y,,,,,
11,2023.11.09,4,,,saint,,theotokos,
11,2023.11.10,5,,,saint,,theotokos,
11,2023.11.11,6,,,saint,,theotokos,
11,2023.11.12,7,y,,,,,
11,2023.11.13,1,y,,,,,
11,2023.11.14,2,y,,,,,
11,2023.11.15,3,,,saint,,theotokos,
11,2023.11.16,4,y,,,,,
11,2023.11.17,5,,,saint,,theotokos,
11,2023.11.18,6,,,saint,,theotokos,
11,2023.11.19,7,,,resurrection,,theotokos,
11,2023.11.20,1,y,,,,,
11,2023.11.21,2,y,,,,,
11,2023.11.22,3,y,,,,,
11,2023.11.23,4,y,,,,,
11,2023.11.24,5,y,,,,,
11,2023.11.25,6,y,,,,,
11,2023.11.26,7,y,,,,,
11,2023.11.27,1,y,,,,,
11,2023.11.28,2,y,,,,,
11,2023.11.29,3,y,,,,,
11,2023.11.30,4,y,,,,,
12,2023.12.01,5,,,saint,,theotokos,
12,2023.12.02,6,,,saint,,theotokos,
12,2023.12.03,7,,,resurrection,,theotokos,
12,2023.12.04,1,,,saint,,theotokos,
12,2023.12.05,2,y,,,,,
12,2023.12.06,3,y,,,,,
12,2023.12.07,4,,,saint,,theotokos,
12,2023.12.08,5,,,saint,,theotokos,
12,2023.12.09,6,y,,,,,
12,2023.12.10,7,,,resurrection,,theotokos,
12,2023.12.11,1,,,saint,,theotokos,
12,2023.12.12,2,,,saint,,theotokos,
12,2023.12.13,3,y,,,,,
12,2023.12.14,4,,,saint,,theotokos,
12,2023.12.15,5,,,saint,,theotokos,
12,2023.12.16,6,,,saint,,theotokos,
12,2023.12.17,7,,,resurrection,,theotokos,
12,2023.12.18,1,,,saint,,theotokos,
12,2023.12.19,2,,,saint,,theotokos,
12,2023.12.20,3,y,,,,,
12,2023.12.21,4,y,,,,,
12,2023.12.22,5,y,,,,,
12,2023.12.23,6,y,,,,,
12,2023.12.24,7,y,,,,,
12,2023.12.25,1,y,,,,,
12,2023.12.26,2,y,,,,,
12,2023.12.27,3,y,,,,,
12,2023.12.28,4,y,,,,,
12,2023.12.29,5,y,,,,,
12,2023.12.30,6,y,,,,,
12,2023.12.31,7,y,,,,,
1,2024.01.01,1,y,,,,,
1,2024.01.02,2,y,,,,,
1,2024.01.03,3,y,,,,,
1,2024.01.04,4,y,,,,,
1,2024.01.05,5,y,,,,,
1,2024.01.06,6,y,,,,,
1,2024.01.07,7,y,,,,,
1,2024.01.08,1,y,,,,,
1,2024.01.09,2,y,,,,,
1,2024.01.10,3,y,,,,,
1,2024.01.11,4,y,,,,,
1,2024.01.12,5,y,,,,,
1,2024.01.13,6,y,,,,,
1,2024.01.14,7,y,,,,,
1,2024.01.15,1,n,,saint,,theotokos,
1,2024.01.16,2,n,,saint,,theotokos,
1,2024.01.17,3,y,,,,,
1,2024.01.18,4,n,,saint,,theotokos,
1,2024.01.19,5,n,,saint,,theotokos,
1,2024.01.20,6,y,,,,,
1,2024.01.21,7,n,resurrection,saint,,theotokos,
1,2024.01.22,1,n,,saint,,theotokos,
1,2024.01.23,2,y,,,,,
1,2024.01.24,3,n,,saint,,theotokos,
1,2024.01.25,4,y,,,,,
1,2024.01.26,5,n,,saint,,theotokos,
1,2024.01.27,6,y,,,,,
1,2024.01.28,7,n,,resurrection,,theotokos,
1,2024.01.29,1,n,,saint,,theotokos,
1,2024.01.30,2,y,,,,,
1,2024.01.31,3,n,,,,,
2,2024.02.01,4,y,,,,,
2,2024.02.02,5,y,,,,,
2,2024.02.03,6,y,,,,,
2,2024.02.04,7,y,,,,,
2,2024.02.05,1,y,,,,,
2,2024.02.06,2,y,,,,,
2,2024.02.07,3,y,,,,,
2,2024.02.08,4,y,,,,,
2,2024.02.09,5,y,,,,,
2,2024.02.10,6,,,saint,,theotokos,
2,2024.02.11,7,,,resurrection,,theotokos,
2,2024.02.12,1,,,saint,,theotokos,
2,2024.02.13,2,,,saint,,theotokos,
2,2024.02.14,3,,,saint,,theotokos,
2,2024.02.15,4,,,saint,,theotokos,
2,2024.02.16,5,,,saint,,theotokos,
2,2024.02.17,6,,,saint,,theotokos,
2,2024.02.18,7,,,resurrection,,theotokos,
2,2024.02.19,1,,,saint,,theotokos,
2,2024.02.20,2,,,saint,,theotokos,
2,2024.02.21,3,,,saint,,theotokos,
2,2024.02.22,4,,,saint,,theotokos,
2,2024.02.23,5,,,saint,,theotokos,
2,2024.02.24,6,y,,,,,
2,2024.02.25,7,,,resurrection,,theotokos,
2,2024.02.26,1,,,saint,,theotokos,
2,2024.02.27,2,,,saint,,theotokos,
2,2024.02.28,3,,,saint,,theotokos,
2,2024.02.29,4,,,saint,,theotokos,
3,2024.03.01,5,y,,,,,
3,2024.03.02,6,y,,,,,
3,2024.03.03,7,,,resurrection,,theotokos,
3,2024.03.04,1,y,,,,,
3,2024.03.05,2,y,,,,,
3,2024.03.06,3,y,,,,,
3,2024.03.07,4,y,,,,,
3,2024.03.08,5,y,,,,,
3,2024.03.09,6,y,,,,,
3,2024.03.10,7,,,resurrection,,theotokos,
3,2024.03.11,1,y,,,,,
3,2024.03.12,2,y,,,,,
3,2024.03.13,3,y,,,,,
3,2024.03.14,4,y,,,,,
3,2024.03.15,5,y,,,,,
3,2024.03.16,6,y,,,,,
3,2024.03.17,7,,,resurrection,,theotokos,
3,2024.03.18,1,y,,,,,
3,2024.03.19,2,y,,,,,
3,2024.03.20,3,y,,,,,
3,2024.03.21,4,y,,,,,
3,2024.03.22,5,y,,,,,
3,2024.03.23,6,y,,,,,
3,2024.03.24,7,v,,resurrection,,theotokos,
3,2024.03.25,1,y,,,,,
3,2024.03.26,2,y,,,,,
3,2024.03.27,3,y,,,,,
3,2024.03.28,4,y,,,,,
3,2024.03.29,5,y,,,,,
3,2024.03.30,6,y,,,,,
3,2024.03.31,7,v,,resurrection,,theotokos,
4,2024.04.01,1,y,,,,,
4,2024.04.02,2,y,,,,,
4,2024.04.03,3,y,,,,,
4,2024.04.04,4,y,,,,,
4,2024.04.05,5,y,,,,,
4,2024.04.06,6,y,,,,,
4,2024.04.07,7,y,,,,,
4,2024.04.08,1,n,,saint,,,
4,2024.04.09,2,n,,saint,,,
4,2024.04.10,3,n,,saint,,,
4,2024.04.11,4,n,,saint,,,
4,2024.04.12,5,n,,saint,,,
4,2024.04.13,6,n,,saint,,,
4,2024.04.14,7,y,,,,,
4,2024.04.15,1,n,,saint,,,
4,2024.04.16,2,n,,saint,,,
4,2024.04.17,3,n,,saint,,,
4,2024.04.18,4,n,,saint,,,
4,2024.04.19,5,n,,saint,,,
4,2024.04.20,6,n,,saint,,,
4,2024.04.21,7,y,,,,,
4,2024.04.22,1,n,,saint,,theotokos,
4,2024.04.23,2,n,,saint,,theotokos,
4,2024.04.24,3,y,,,,,
4,2024.04.25,4,n,,saint,,theotokos,
4,2024.04.26,5,n,,saint,,theotokos,
4,2024.04.27,6,n,,saint,,theotokos,
4,2024.04.28,7,y,,,,,
4,2024.04.29,1,n,,saint,,theotokos,
4,2024.04.30,2,n,,saint,,theotokos,
5,2024.05.01,3,y,,,,,
5,2024.05.02,4,n,,resurrection,saint,theotokos,
5,2024.05.03,5,n,,resurrection,saint,theotokos,
5,2024.05.04,6,n,,resurrection,saint,theotokos,
5,2024.05.05,7,y,,,,,
5,2024.05.06,1,n,,resurrection,saint,theotokos,
5,2024.05.07,2,n,,resurrection,saint,theotokos,
5,2024.05.08,3,n,,resurrection,saint,theotokos,
5,2024.05.09,4,y,,,,,
5,2024.05.10,5,n,,triodion,saint,triodion,
5,2024.05.11,6,n,,triodion,saint,triodion,
5,2024.05.12,7,y,,,,,
5,2024.05.13,1,n,,triodion,saint,triodion,
5,2024.05.14,2,n,,triodion,saint,triodion,
5,2024.05.15,3,n,,triodion,saint,triodion,
5,2024.05.16,4,n,,triodion,saint,triodion,
5,2024.05.17,5,y,,,,,
5,2024.05.18,6,y,,,,,
5,2024.05.19,7,y,,,,,
5,2024.05.20,1,y,,,,,
5,2024.05.21,2,n,,triodion,saint,triodion,
5,2024.05.22,3,n,,triodion,saint,triodion,
5,2024.05.23,4,n,,triodion,saint,triodion,
5,2024.05.24,5,n,,triodion,saint,triodion,
5,2024.05.25,6,n,,triodion,saint,triodion,
5,2024.05.26,7,y,,,,,
5,2024.05.27,1,n,,saint,,theotokos,
5,2024.05.28,2,n,,saint,,theotokos,
5,2024.05.29,3,n,,saint,,theotokos,
5,2024.05.30,4,y,,,,,
5,2024.05.31,5,n,,saint,,theotokos,
6,2024.06.01,6,n,,saint,,triodion,
6,2024.06.02,7,y,,,,,
6,2024.06.03,1,n,,saint,,triodion,
6,2024.06.04,2,n,,saint,,triodion,
6,2024.06.05,3,y,,,,,треба виправити устав. в нас лиш 1 святий
6,2024.06.06,4,n,,resurrection,saint,theotokos,
6,2024.06.07,5,y,,,,,
6,2024.06.08,6,n,,resurrection,saint,theotokos,
6,2024.06.09,7,n,,resurrection,,theotokos,
6,2024.06.10,1,n,,resurrection,saint,theotokos,
6,2024.06.11,2,n,,resurrection,saint,theotokos,вв
6,2024.06.12,3,y,,,,,відання пасхи
6,2024.06.13,4,y,,,,,
6,2024.06.14,5,n,,saint,,triodion,
6,2024.06.15,6,n,,saint,,triodion,
6,2024.06.16,7,y,,,,,
6,2024.06.17,1,n,,saint,,triodion,
6,2024.06.18,2,n,,saint,,triodion,
6,2024.06.19,3,n,,saint,,triodion,юди
6,2024.06.20,4,n,,saint,,triodion,
6,2024.06.21,5,y,,,,,віддання
6,2024.06.22,6,y,,,,,
6,2024.06.23,7,y,,,,,
6,2024.06.24,1,y,,,,,Предт.
6,2024.06.25,2,y,,,,,посв
6,2024.06.26,3,n,,saint,,triodion,
6,2024.06.27,4,y,,triodion,saint,triodion,Мчч
6,2024.06.28,5,y,,saint,,triodion,безср
6,2024.06.29,6,y,,triodion,saint,triodion,ПП
6,2024.06.30,7,y,,,,,
