0,1,2,3,4,5,6,7,8,9,10,,,
Місяць,Дата,#wd,"День
тижня",Мінейні Святі,Формулювання для відпусту,"Окремий
святковий
відпуст?","Фаза
свята","Текст 
для 
заміни","Формулю-
вання 
свята","Текст відпусту, Літургія","Текст відпусту, ВУ",,
Вересень,01.09,1,пн,"🕂 Початок індикту, нового року Пам’ять прп. Симеона Стовпника і матері його Марти Собор Пресв. Богородиці, що в Міясинах",,так,свято,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, що її собору в Міясинах пам'ять сьогодні звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобного отця нашого Симеона Стовпника, і матері його Марти, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, що її собору в Міясинах пам'ять сьогодні звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і преподобного отця нашого Симеона Стовпника, і матері його Марти, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, що її собору в Міясинах пам'ять сьогодні звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобного отця нашого Симеона Стовпника, і матері його Марти,",
Вересень,02.09,2,вв,"Св. мч. Маманта Прп. Івана Посника, патр. Царгородського","святого мученика Маманта, преподобного отця нашого Івана Посника, патріарха Царгородського",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого мученика Маманта, преподобного отця нашого Івана Посника, патріарха Царгородського, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, і святого, якого є храм, і святого мученика Маманта, преподобного отця нашого Івана Посника, патріарха Царгородського, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,03.09,3,ср,"Св. сщмч. Антима, єп. Нікомидійського Прп. Теоктиста, співпосника вел. Євтимія","святого священномученика Антима, єпископа Нікомидійського, преподобного отця нашого Теоктиста, співпосника великого Євтимія",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Антима, єпископа Нікомидійського, преподобного отця нашого Теоктиста, співпосника великого Євтимія, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, і святого, якого є храм, і святого священномученика Антима, єпископа Нікомидійського, преподобного отця нашого Теоктиста, співпосника великого Євтимія, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,04.09,4,чт,"Св. сщмч. Вавили, єп. Антіохійського Св. прор. й боговидця Мойсея","святого священномученика Вавили, єпископа Антіохійського, святого пророка й боговидця Мойсея",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Вавили, єпископа Антіохійського, святого пророка й боговидця Мойсея, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, і святого, якого є храм, і святого священномученика Вавили, єпископа Антіохійського, святого пророка й боговидця Мойсея, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,05.09,5,пт,"🕃 Свв. прор. Захарії та прав. Єлисавети, батьків чесного Івана Предтечі Прп. Терези з Калькутти","святих пророка Захарії та праведної Єлисавети, батьків чесного Івана Предтечі, преподобної матері нашої Терези з Калькутти",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих пророка Захарії та праведної Єлисавети, батьків чесного Івана Предтечі, преподобної матері нашої Терези з Калькутти, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, і святого, якого є храм, і святих пророка Захарії та праведної Єлисавети, батьків чесного Івана Предтечі, преподобної матері нашої Терези з Калькутти, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,06.09,6,сб,"🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистр. Михаїла Св. мч. Євдоксія і тих, що з ним Прп. Архипа","заступництвом святого архистратига Михаїла, якого чудо в Колосах сьогодні пам'ять звершуємо, святого мученика Євдоксія і тих, що з ним, преподобного отця нашого Архипа",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних і святого архистратига Михаїла, якого чудо в Колосах сьогодні пам'ять звершуємо, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святих і праведних богоотців Йоакима й Анни, і святого, якого є храм, і святого мученика Євдоксія і тих, що з ним, преподобного отця нашого Архипа, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних і святого архистратига Михаїла, якого чудо в Колосах сьогодні пам'ять звершуємо, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святих і праведних богоотців Йоакима й Анни, і святого, якого є храм, і святого мученика Євдоксія і тих, що з ним, преподобного отця нашого Архипа, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,07.09,7,нд,Неділя перед Воздвиженям 🕃 Передсвяття Різдва Пресвятої Богородиці Св. мч. Созонта,святого мученика Созонта,ні,,,,"Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого мученика Созонта, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, і святого, якого є храм, і святого мученика Созонта, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,08.09,1,пн,🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,,так,свято,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм,",
Вересень,09.09,2,вв,🕃 Свв. і правв. богоотців Йоакима й Анни Св. мч. Северіана,"святих і праведних богоотців Йоакима й Анни, святого мученика Северіана",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, якої Різдво торжественне свято звершуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих і праведних богоотців Йоакима й Анни, святого мученика Северіана, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і святих і праведних богоотців Йоакима й Анни, святого мученика Северіана, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
