month,date,day,poly,1-trop1,1-trop2,1-kond,3-trop1,3-trop2,3-kond,6-trop1,6-trop2,6-kond,9-trop1,9-trop2,9-kond,
9,2024.09.01,7,y,resurrection,feast,resurrection,resurrection,saint,saint,resurrection,feast,feast,resurrection,saint,resurrection,
9,2024.09.02,1,,,,,,,,,,,,,,
9,2024.09.03,2,,,,,,,,,,,,,,
9,2024.09.04,3,,,,,,,,,,,,,,
9,2024.09.05,4,,,,,,,,,,,,,,
9,2024.09.06,5,,,,,,,,,,,,,,
9,2024.09.07,6,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.08,7,y,resurrection,feast,resurrection,resurrection,feast,feast,resurrection,feast,resurrection,resurrection,feast,feast,
9,2024.09.09,1,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.10,2,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.11,3,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.12,4,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
9,2024.09.13,5,y,triodion,feast,triodion,triodion,saint,saint,triodion,feast,feast,triodion,saint,triodion,
9,2024.09.14,6,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
9,2024.09.15,7,y,resurrection,feast,feast,resurrection,saint,resurrection,resurrection,feast,feast,resurrection,saint,resurrection,
9,2024.09.16,1,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.17,2,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.18,3,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.19,4,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.20,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
9,2024.09.21,6,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
9,2024.09.22,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
9,2024.09.23,1,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
9,2024.09.24,2,,,,,,,,,,,,,,
9,2024.09.25,3,,,,,,,,,,,,,,
9,2024.09.26,4,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
