month,date,day,1-trop1,1-trop2,1-kond,3-trop1,3-trop2,3-kond,6-trop1,6-trop2,6-kond,9-trop1,9-trop2,9-kond
10,2023.10.01,7,resurrection,holiday,resurrection,resurrection,holiday,holiday,resurrection,holiday,resurrection,resurrection,holiday,holiday
10,2023.10.02,1,,,,,,,,,,,,
10,2023.10.03,2,,,,,,,,,,,,
10,2023.10.04,3,,,,,,,,,,,,
10,2023.10.05,4,,,,,,,,,,,,
10,2023.10.06,5,,,,,,,,,,,,
10,2023.10.07,6,,,,,,,,,,,,
10,2023.10.08,7,,,,,,,,,,,,
10,2023.10.09,1,,,,,,,,,,,,
10,2023.10.10,2,,,,,,,,,,,,
10,2023.10.11,3,,,,,,,,,,,,
10,2023.10.12,4,,,,,,,,,,,,
10,2023.10.13,5,,,,,,,,,,,,
10,2023.10.14,6,,,,,,,,,,,,
10,2023.10.15,7,resurrection,holiday,resurrection,resurrection,holiday,holiday,resurrection,holiday,resurrection,resurrection,holiday,holiday
10,2023.10.16,1,,,,,,,,,,,,
10,2023.10.17,2,,,,,,,,,,,,
10,2023.10.18,3,,,,,,,,,,,,
10,2023.10.19,4,,,,,,,,,,,,
10,2023.10.20,5,,,,,,,,,,,,
10,2023.10.21,6,,,,,,,,,,,,
10,2023.10.22,7,,,,,,,,,,,,
10,2023.10.23,1,,,,,,,,,,,,
10,2023.10.24,2,,,,,,,,,,,,
10,2023.10.25,3,,,,,,,,,,,,
10,2023.10.26,4,,,,,,,,,,,,
10,2023.10.27,5,,,,,,,,,,,,
10,2023.10.28,6,,,,,,,,,,,,
10,2023.10.29,7,,,,,,,,,,,,
10,2023.10.30,1,,,,,,,,,,,,
10,2023.10.31,2,,,,,,,,,,,,
