Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Йо. 1 зач.; 1, 1-17.",Йо.,1,,,В святу й велику неділю Пасхи на Літургії,
"Йо. 2 зач.; 1, 18-28.",Йо.,2,,,Понеділок світлого тижня,
"Йо. 3 зач.; 1, 29-34.",Йо.,3,,,Другого дня Богоявлення на Літургії,
"Йо. 4 зач.; 1, 35-51.",Йо.,4,,,Середа світлого тижня. Це і апостолові Андрієві,
"Йо. 5 зач.; 1, 43-51.",Йо.,5,,,Неділя 1-ша посту. Це ж і святому апостолові Филипові,
"Йо. 6 зач.; 2, 1-11.",Йо.,6,,,Понеділок 2-го тижня,
"Йо. 7 зач.; 2, 12-22.",Йо.,7,,,П'ятниця світлого тижня,
"Йо. 8 зач.; 3, 1-15.",Йо.,8,,,Четвер світлого тижня,
"Йо. 9 зач.; 3, 13-17.",Йо.,9,,,Неділя перед Воздвиженням,
"Йо. 10 зач.; 3, 16-21.",Йо.,10,,,Вівторок 2-го тижня,
"Йо. 11 зач.; 3, 22-33.",Йо.,11,,,Субота світлого тижня,
"Йо. 12 зач.; 4, 5-42.",Йо.,12,,,"Неділя 5-та після Пасхи, про самарянку",
"Йо. 13 зач.; 4, 46-54.",Йо.,13,,,Понеділок 3-го тижня,
"Йо. 14 зач.; 5, 1-15.",Йо.,14,,?,"Неділя 4-та, про розслабленого",
"Йо. 14 зач.; 5, 1-4.",Йо.,14,,?,На освячення води,
"Йо. 15 зач.; 5, 17-24.",Йо.,15,,,Середа 2-го тижня. Це ж і мертвим в понеділок,
"Йо. 16 зач.; 5, 24-30.",Йо.,16,,,Четвер 2-го тижня. Це ж і мертвим у вівторок і в суботу.,
"Йо. 17 зач.; 5, 30 – 6, 2.",Йо.,17,,,П'ятниця 2-го тижня,
"Йо. 18 зач.; 6, 5-14.",Йо.,18,,,Середа 5-го тижня,
"Йо. 19 зач.; 6, 14-27.",Йо.,19,,,Субота 2-га після Пасхи,
"Йо. 20 зач.; 6, 27-33.",Йо.,20,,,Вівторок 3-го тижня,
"Йо. 21 зач.; 6, 35-39.",Йо.,21,,,Середа 3-го тижня. Це і мертвим у середу,
"Йо. 22 зач.; 6, 40-44.",Йо.,22,,,Четвер 3-го тижня,
"Йо. 23 зач.; 6, 48-54.",Йо.,23,,?,П'ятниця 3-го тижня,нема abc
"Йо. 23 зач.; 6, 55-58.",Йо.,23,,?,Понеділок 4-го тижня,нема abc
"Йо. 24 зач.; 6, 56-69.",Йо.,24,,,Вівторок 4-го тижня,
"Йо. 25 зач.; 7, 1-13.",Йо.,25,,,Середа 4-го тижня,
"Йо. 26 зач.; 7, 14-30.",Йо.,26,,,"Неділя 8-ма, П'ятдесятниця",
"Йо. 27 зач.; 7, 37-52; 8, 12.",Йо.,27,,,П'ятниця 3-го тижня,
"Йо. 28 зач.; 8, 3-11.",Йо.,28,,,Святим жінкам,
"Йо. 29 зач.; 8, 12-20.",Йо.,29,,,Четвер 4-го тижня,
"Йо. 30 зач.; 8, 21-30.",Йо.,30,,,П'ятниця 4-го тижня. Це ж і в суботу після Воздвиження,
"Йо. 31 зач.; 8, 31-42.",Йо.,31,,,Субота 4-го тижня,
"Йо. 32 зач.; 8, 42-51.",Йо.,32,,,Понеділок 5-го тижня,
"Йо. 33 зач.; 8, 51-59.",Йо.,33,,,Вівторок 5-го тижня,
"Йо. 34 зач.; 9, 1-38.",Йо.,34,,,Неділя про сліпородженого,
"Йо. 35 зач.; 10, 1-9.",Йо.,35,b,,Святителям на Утрені,
