Лк. 72 зач.; 13, 18-29.
Лк. 114 зач.; 24, 36-53.
Мт. 1 зач.; 1, 1-25.
Лк. 102 зач.; 20, 27-44.
Лк. 106 зач.; 21, 12-19.
Лк. 104 зач.; 21, 5-7; 10-11; 20-24.
Мт. 2 зач.; 1, 18-25.
Лк. 5 зач.; 2, 1-20.
Мт. 3 зач.; 2, 1-12.
Мт. 4 зач.; 2, 13-23.
Лк. 5 зач.; 2, 1-20.
Мт. 2 зач.; 1, 18-25.
Мт. 3 зач.; 2, 1-12.
Мт. 46 зач.; 12, 15-21.
Мт. 4 зач.; 2, 13-23.
Йо. 63 зач.; 20, 1-10.
Мт. 4 зач.; 2, 13-23.
Мр. 33 зач.; 8, 11-21.
Мр. 34 зач.; 8, 22-26.
Мр. 36 зач.; 8, 30-34.
Мр. 39 зач.; 9, 10-16.
Йо. 36 зач.; 10, 9-16.
Лк. 6 зач.; 2, 20-21; 40-52.
Лк. 24 зач.; 6, 17-23.
Мт. 5 зач.; 3, 1-11.
Йо. 64 зач.; 20, 11-18.
Мр. 1 зач.; 1, 1-8.
Мр. 42 зач.; 9, 42 – 10, 1.
Мт. 5 зач.; 3, 1-11.
Мр. 1 зач.; 1, 1-8.
Мр. 2 зач.; 1, 9-15.
Мт. 6 зач.; 3, 13-17.
Лк. 9 зач.; 3, 1-18.
Мр. 2 зач.; 1, 9-11.
Мр. 2 зач.; 1, 9-11.
Мт. 6 зач.; 3, 13-17.
Мр. 2 зач.; 1, 9-11.
Йо. 3 зач.; 1, 29-34.
Мр. 46 зач.; 10, 23-32.
Мт. 7 зач.; 4, 1-11.
Йо. 65 зач.; 20, 19-31.
Мт. 8 зач.; 4, 12-17.
Лк. 24 зач.; 6, 17-23.
Мр. 48 зач.; 10, 46-52.
Мт. 43 зач.; 11, 27-30.
Мр. 50 зач.; 11, 11-23.
Мр. 51 зач.; 11, 23-26.
Мр. 52 зач.; 11, 27-33.
Мр. 53 зач.; 12, 1-12.
Лк. 84 зач.; 17, 3-10.
Йо. 66 зач.; 21, 1-14.
Лк. 93 зач.; 18, 35-43.
Лк. 24 зач.; 6, 17-23.
Мр. 43 зач.; 10, 2-12.
Мт. 43 зач.; 11, 27-30.
Лк. 24 зач.; 6, 17-23.
Мр. 44 зач.; 10, 11-16.
Мр. 46 зач.; 10, 23-32.
Лк. 81 зач.; 16, 10-15.
Йо. 67 зач.; 21, 15-25.
Лк. 94 зач.; 19, 1-10.
Мр. 54 зач.; 12, 13-17.
Йо. 36 зач.; 10, 9-16.
Мр. 55 зач.; 12, 18-27.
Йо. 35 зач.; 10, 1-9.
Мр. 56 зач.; 12, 28-37.
Йо. 36 зач.; 10, 9-16.
Мр. 57 зач.; 12, 38-44.
Мр. 58 зач.; 13, 1-8.
Йо. 36 зач.; 10, 9-16.
Мт. 11 зач.; 5, 14-19.
Мт. 116 зач.; 28, 16-20.
Лк. 89 зач.; 18, 10-14.
Мр. 59 зач.; 13, 9-13.
Лк. 8 зач.; 2, 25-32.
Лк. 7 зач.; 2, 22-40.
Мр. 61 зач.; 13, 24-31.
Мр. 62 зач.; 13, 31 – 14, 2.
Мр. 63 зач.; 14, 3-9.
Лк. 103 зач.; 20, 45 – 21, 4.
Мр. 70 зач.; 16, 1-8.
Лк. 79 зач.; 15, 11-32.
Мр. 49 зач.; 11, 1-11.
Мр. 64 зач.; 14, 10-42.
Мр. 65 зач.; 14, 43 – 15, 1.
Мр. 66 зач.; 15, 1-15.
Мр. 68 зач.; 15, 22; 25; 33-41.
Лк. 105 зач.; 21, 8-9; 25-27; 33-36.
Йо. 16 зач.; 5, 24-30.
Мр. 71 зач.; 16, 9-20.
Мт. 106 зач.; 25, 31-46.
Лк. 96 зач.; 19, 29-40; 22, 7-39.
Лк. 109 зач.; 22, 39-42; 45 – 23, 1.
Лк. 110 зач.; 23, 1-34; 44-56.
Мт. 16 зач.; 6, 1-13.
Мт. 43 зач.; 11, 27-30.
Лк. 112 зач.; 24, 1-12.
