Читання,Книга,Книга_код,# зач.,abc,Присвята,Примітка,Дата (мінея),Період,Тиждень від,"Тиждень
до ВП",День тижня,Обч. день тижня,Обч. період,Обч. тиждень,empty?
"Ді. 1 зач.; 1, 1-8.",Ді.,ap,1,a,В святу й велику неділю Пасхи,,,lent,7,,7,,pascha,,FALSE
"Ді. 1 зач.; 1, 1-12.",Ді.,ap,1,b,На Вознесення Господнє,,,pascha,6,,4,,,,FALSE
"Ді. 2 зач.; 1, 12-17; 21-26.",Ді.,ap,2,,Понеділок світлого тижня. Цей і ап. Матію,,,pascha,1,,1,1,,,FALSE
"Ді. 3 зач.; 2, 1-11.",Ді.,ap,3,,Неділя 50-ці,,,pentecost,7,,7,7,pentecost,50,FALSE
"Ді. 4 зач.; 2, 14-21.",Ді.,ap,4,,Вівторок світлого тижня,,,pascha,1,,2,2,,,FALSE
"Ді. 5 зач.; 2, 22-36.",Ді.,ap,5,,Середа світлого тижня,,,pascha,1,,3,3,,,FALSE
"Ді. 6 зач.; 2, 38-43.",Ді.,ap,6,,Четвер світлого тижня,,,pascha,1,,4,4,,,FALSE
"Ді. 7 зач.; 3, 1-8.",Ді.,ap,7,,П'ятниця світлого тижня,,,pascha,1,,5,5,,,FALSE
"Ді. 8 зач.; 3, 11-16.",Ді.,ap,8,,Субота світлого тижня,,,pascha,1,,6,6,,,FALSE
"Ді. 9 зач.; 3, 19-26.",Ді.,ap,9,,Понеділок 2-го тижня після Пасхи,,,pascha,2,,1,1,pascha,2,FALSE
"Ді. 10 зач.; 4, 1-10.",Ді.,ap,10,,Вівторок 2-го тижня після Пасхи,,,pascha,2,,2,2,pascha,2,FALSE
"Ді. 11 зач.; 4, 13-22.",Ді.,ap,11,,Середа 2-го тижня після Пасхи,,,pascha,2,,3,3,pascha,2,FALSE
"Ді. 12 зач.; 4, 23-31.",Ді.,ap,12,,Четвер 2-го тижня після Пасхи,,,pascha,2,,4,4,pascha,2,FALSE
"Ді. 13 зач.; 5, 1-11.",Ді.,ap,13,,П'ятниця 2-го тижня після Пасхи,,,pascha,2,,5,5,pascha,2,FALSE
"Ді. 14 зач.; 5, 12-20.",Ді.,ap,14,,Томина неділя,,,pascha,1,,7,,,,FALSE
"Ді. 15 зач.; 5, 21-33.",Ді.,ap,15,,Субота 2-го тижня після Пасхи,,,pascha,2,,6,6,pascha,2,FALSE
"Ді. 16 зач.; 6, 1-7.",Ді.,ap,16,,Неділя 3-тя після Пасхи,,,pascha,3,,7,7,pascha,3,FALSE
"Ді. 17 зач.; 6, 8 – 7, 5; 47-60.",Ді.,ap,17,,Понеділок 3-го тижня після Пасхи. Цей і святому Стефанові первомученику,,,pascha,3,,1,1,pascha,3,FALSE
"Ді. 18 зач.; 8, 5-17.",Ді.,ap,18,,Вівторок 3-го тижня після Пасхи,,,pascha,3,,2,2,pascha,3,FALSE
"Ді. 19 зач.; 8, 18-25.",Ді.,ap,19,,Середа 3-го тижня після Пасхи,,,pascha,3,,3,3,pascha,3,FALSE
"Ді. 20 зач.; 8, 26-39.",Ді.,ap,20,,Четвер 3-го тижня після Пасхи,,,pascha,3,,4,4,pascha,3,FALSE
"Ді. 21 зач.; 8, 40 – 9, 19.",Ді.,ap,21,a,П'ятниця 3-го тижня після Пасхи,,,pascha,3,,5,5,pascha,3,FALSE
"Ді. 21 зач.; 9, 10-19.",Ді.,ap,21,b,ап. Ананії,,*,,,,,,,,FALSE
"Ді. 22 зач.; 9, 20-31.",Ді.,ap,22,,Субота 3-тя після Пасхи,,,pascha,3,,6,6,pascha,3,FALSE
"Ді. 23 зач.; 9, 32-42.",Ді.,ap,23,,"Неділя 4-та, про розслабленого",,,pascha,3,,7,7,,4,FALSE
"Ді. 24 зач.; 10, 1-16.",Ді.,ap,24,,Понеділок 4-го тижня після Пасхи,,,pascha,4,,1,1,pascha,4,FALSE
"Ді. 25 зач.; 10, 21-33.",Ді.,ap,25,,Вівторок 4-го тижня після Пасхи,,,pascha,4,,2,2,pascha,4,FALSE
"Ді. 26 зач.; 10, 34-43.",Ді.,ap,26,,Четвер 4-го тижня після Пасхи,,,pascha,4,,4,4,pascha,4,FALSE
"Ді. 27 зач.; 10, 44 – 11, 10.",Ді.,ap,27,,П'ятниця 4-го тижня після Пасхи,,,pascha,4,,5,5,pascha,4,FALSE
"Ді. 28 зач.; 11, 19-26; 29-30.",Ді.,ap,28,,"Неділя 5-та, про самарянку. Цей же і Вартоломею та Варнаві",,,pascha,4,,7,7,,5,FALSE
"Ді. 29 зач.; 12, 1-11.",Ді.,ap,29,,"Субота 4-та після Пасих. Цей же і святому мученикові Юрієві, і Яковові Заведеєві",,*,,4,,6,6,,4,FALSE
"Ді. 30 зач.; 12, 12-17.",Ді.,ap,30,,Понеділок 5-го тижня після Пасхи,,,pascha,5,,1,1,pascha,5,FALSE
"Ді. 31 зач.; 12, 25 – 13, 12.",Ді.,ap,31,,Вівторок 5-го тижня після Пасхи,,,pascha,5,,2,2,pascha,5,FALSE
"Ді. 32 зач.; 13, 13-24.",Ді.,ap,32,,Середа 5-го тижня після Пасхи,,,pascha,5,,3,3,pascha,5,FALSE
"Ді. 33 зач.; 13, 25-33.",Ді.,ap,33,,Усікновення голови св. Івана Христителя,,*,,,,,,,,FALSE
"Ді. 34 зач.; 14, 6-18.",Ді.,ap,34,,Середа Переполовення,,,pascha,4,,3,3,,,FALSE
"Ді. 35 зач.; 14, 20-27.",Ді.,ap,35,,Четвер 5-го тижня після Пасхи,,,pascha,5,,4,4,pascha,5,FALSE
"Ді. 36 зач.; 15, 5-34.",Ді.,ap,36,,П'ятниця 5-го тижня після Пасхи,,,pascha,5,,5,5,pascha,5,FALSE
"Ді. 37 зач.; 15, 35-41.",Ді.,ap,37,,Субота 5-го тижня після Пасхи,,,pascha,5,,6,6,pascha,5,FALSE
"Ді. 38 зач.; 16, 16-34.",Ді.,ap,38,,"Неділя 6-та, про сліпого",,,pascha,5,,7,7,,6,FALSE
"Ді. 39 зач.; 17, 1-15.",Ді.,ap,39,,Понеділок 6-го тижня після Пасхи,,,pascha,6,,1,1,pascha,6,FALSE
"Ді. 40 зач.; 17, 19-28.",Ді.,ap,40,a,Вівторок 6-го тижня після Пасхи,,,pascha,6,,2,2,pascha,6,FALSE
"Ді. 40 зач.; 17, 16-34.",Ді.,ap,40,b,Святому Діонисієві Ареопагітові,,*,,,,,,,,FALSE
"Ді. 40 зач.; 18, 1-11.",Ді.,ap,40,c,На заснування і оновлення міста,,*,,,,,,,,FALSE
"Ді. 41 зач.; 18, 22-28.",Ді.,ap,41,,Середа 6-го тижня після Пасхи,,,pascha,6,,3,3,pascha,6,FALSE
"Ді. 42 зач.; 19, 1-8.",Ді.,ap,42,,"П'ятниця 6-го тижня після Пасхи. Це й 8-го січня, Христителеві",,?,pascha,6,,5,5,pascha,6,FALSE
"Ді. 43 зач.; 20, 7-12.",Ді.,ap,43,,Субота 6-та після Пасхи,,,pascha,6,,6,6,pascha,6,FALSE
"Ді. 44 зач.; 20, 16-18; 28-36.",Ді.,ap,44,,"Неділя 7-ма, святих отців",,,pascha,6,,7,7,,7,FALSE
"Ді. 45 зач.; 21, 8-14.",Ді.,ap,45,,Понеділок 7-го тижня після Пасхи,,,pascha,7,,1,1,pascha,7,FALSE
"Ді. 46 зач.; 21, 26-32.",Ді.,ap,46,,Вівторок 7-го тижня після Пасхи,,,pascha,7,,2,2,pascha,7,FALSE
"Ді. 47 зач.; 23, 1-11.",Ді.,ap,47,,Середа 7-го тижня після Пасхи,,,pascha,7,,3,3,pascha,7,FALSE
"Ді. 48 зач.; 25, 13-19.",Ді.,ap,48,,Четвер 7-го тижня після Пасхи,,,pascha,7,,4,4,pascha,7,FALSE
"Ді. 49 зач.; 26, 1-5; 12-20.",Ді.,ap,49,,"21-го травня, цареві Константинові, цей і княгині Ользі",,*,,21,,,,,21,FALSE
"Ді. 50 зач.; 27, 1-44.",Ді.,ap,50,a,П'ятниця 7-го тижня після Пасхи,,,pascha,7,,5,5,pascha,7,FALSE
"Як. 50 зач.; 1, 1-18.",Як.,ap,50,b,Середа 31-го тижня після 50-ці,,,pentecost,31,,3,3,pentecost,31,FALSE
"Ді. 51 зач.; 28, 1-31.",Ді.,ap,51,a,Субота 7-ма після Пасхи,,,pascha,7,,6,6,pascha,7,FALSE
"Як. 51 зач.; 1, 19-27.",Як.,ap,51,b,Четвер 31-го тижня після 50-ці,,,pentecost,31,,4,4,pentecost,31,FALSE
"Як. 52 зач.; 2, 1-13.",Як.,ap,52,,П'ятниця 31-го тижня після 50-ці,,,pentecost,31,,5,5,pentecost,31,FALSE
"Як. 53 зач.; 2, 14-26.",Як.,ap,53,,Понеділок 32-го тижня після 50-ці,,,pentecost,32,,1,1,pentecost,32,FALSE
"Як. 54 зач.; 3, 1-10.",Як.,ap,54,,Вівторок 32-го тижня після 50-ці,,,pentecost,32,,2,2,pentecost,32,FALSE
"Як. 55 зач.; 3, 11 – 4, 6.",Як.,ap,55,,Середа 32-го тижня після 50-ці,,,pentecost,32,,3,3,pentecost,32,FALSE
"Як. 56 зач.; 4, 7 – 5, 9.",Як.,ap,56,,Четвер 32-го тижня після 50-ці,,,pentecost,32,,4,4,pentecost,32,FALSE
"Як. 57 зач.; 5, 10-20.",Як.,ap,57,,"20-го липня, пророкові Іллі. Цей же й над хворими",,*,,20,,,,,20,FALSE
"1 Пт. 58 зач.; 1, 1-2; 10-12; 2, 6-10.",1 Пт.,ap,58,a,П'ятниця 32-го тижня після 50-ці,,,pentecost,32,,5,5,pentecost,32,FALSE
"1 Пт. 58 зач.; 1, 3-9.",1 Пт.,ap,58,b,Паремія 1-ша в пам'ять святих апостолів Петра й Павла,,*,,1,,,,,1,FALSE
"1 Пт. 58 зач.; 1, 13-19.",1 Пт.,ap,58,c,Паремія 2-га в пам'ять святих апостолів Петра й Павла,,*,,2,,,,,2,FALSE
"1 Пт. 58 зач.; 2, 11-24.",1 Пт.,ap,58,d,Паремія 3-тя в пам'ять святих апостолів Петра й Павла,,*,,3,,,,,3,FALSE
"1 Пт. 59 зач.; 2, 21 – 3, 9.",1 Пт.,ap,59,,Понеділок 33-го тижня після 50-ці,,,pentecost,33,4,1,1,pentecost,33,FALSE
"1 Пт. 60 зач.; 3, 10-22.",1 Пт.,ap,60,,Вівторок 33-го тижня після 50-ці,,,pentecost,33,4,2,2,pentecost,33,FALSE
"1 Пт. 61 зач.; 4, 1-11.",1 Пт.,ap,61,,Середа 33-го тижня після 50-ці,,,pentecost,33,4,3,3,pentecost,33,FALSE
"1 Пт. 62 зач.; 4, 12 – 5, 5.",1 Пт.,ap,62,,Четвер 33-го тижня після 50-ці,,,pentecost,33,4,4,4,pentecost,33,FALSE
"1 Пт. 63 зач.; 5, 6-14.",1 Пт.,ap,63,,Євангелистові Маркові,,*,,,,,,,,FALSE
"2 Пт. 64 зач.; 1, 1-10.",2 Пт.,ap,64,,П'ятниця 33-го тижня після 50-ці,,,pentecost,33,4,5,5,pentecost,33,FALSE
"2 Пт. 65 зач.; 1, 10-19.",2 Пт.,ap,65,,На Преображення Господнє,,*,,,,,,,,FALSE
"2 Пт. 66 зач.; 1, 20 – 2, 9.",2 Пт.,ap,66,,Понеділок 34-го тижня після 50-ці,,,pentecost,34,3,1,1,pentecost,34,FALSE
"2 Пт. 67 зач.; 2, 9-22.",2 Пт.,ap,67,,Вівторок 34-го тижня після 50-ці,,,pentecost,34,3,2,2,pentecost,34,FALSE
"2 Пт. 68 зач.; 3, 1-18.",2 Пт.,ap,68,a,Середа 34-го тижня після 50-ці,,,pentecost,34,3,3,3,pentecost,34,FALSE
"1 Йо. 68 зач.; 1, 1-7.",1 Йо.,ap,68,b,"8-го травня, св. Івана Богослова",,*,,8,,,,,8,FALSE
"1 Йо. 69 зач.; 1, 8 – 2, 6.",1 Йо.,ap,69,,Четвер 34-го тижня після 50-ці,,,pentecost,34,3,4,4,pentecost,34,FALSE
"1 Йо. 70 зач.; 2, 7-17.",1 Йо.,ap,70,,П'ятниця 34-го тижня після 50-ці,,,pentecost,34,3,5,5,pentecost,34,FALSE
"1 Йо. 71 зач.; 2, 18 – 3, 10.",1 Йо.,ap,71,,Понеділок 35-го тижня після 50-ці,,,pentecost,35,2,1,1,pentecost,35,FALSE
