searchFor;replaceWith;
"1 Кор. зач. 131; 4, 9-16.";"1 Кор. 131 зач.; 4, 9-16.";
"1 Тм. 280 зач.; 5, 15-17.";"1 Тим. 280 зач.; 5, 15-17.";
"2 Кор. зач. 176; 4, 6-15.";"2 Кор. 176 зач.; 4, 6-15.";
2 Кор., 180 зач., 5, 15–21.;"2 Кор. 180 зач.; 5, 15–21.";
"2 Кор.; 190 зач.; 10, 7-18.";"2 Кор. 190 зач.; 10, 7-18.";
"2 Кор.196 зач.; 12, 20 – 13, 2.";"2 Кор. 196 зач.; 12, 20 – 13, 2.";
"2 Тм. 290 зач.; 1, 3-9.";"2 Тим. 290 зач.; 1, 3-9.";
"41 зач.; 11, 16-20.";"Мт. 41 зач.; 11, 16-20.";
"Ді, 14 зач.; 5, 12-20.";"Ді. 14 зач.; 5, 12-20.";
"Єв. 311 зач.; 4, 14 – 5, 6.";"Євр. 311 зач.; 4, 14 – 5, 6.";
"Євр., зач. 307; 3, 1-4.";"Євр. 307 зач.; 3, 1-4.";
"Ів. 36 зач.; 10, 9-16.";"Йо. 36 зач.; 10, 9-16.";
"Ів. 61 зач.; 19, 25-27.";"Йо. 61 зач.; 19, 25-27.";
"Ів. 61 зач.; 19, 25-27.";"Ів. 61 зач.; 19, 25-27.";
"Йо 53 зач.; 16, 2-13.";"Йо. 53 зач.; 16, 2-13.";
"Йо. зач. 36.; 10, 9-16.";"Йо. 36 зач.; 10, 9-16.";
"Йо. зач. 36; 10, 9-16.";"Йо. 36 зач.; 10, 9-16.";
"Йо. зач. 5; 1, 43-51.";"Йо. 5 зач.; 1, 43-51.";
"Йо. зач. 63; 20, 1-10.";"Йо. 63 зач.; 20, 1-10.";
"Йо. зач. 64; 20, 11-18.";"Йо. 64 зач.; 20, 11-18.";
"Йо. зач. 65; 20, 19-31.";"Йо. 65 зач.; 20, 19-31.";
"Йо. зач. 67; 21, 15-25.";"Йо. 67 зач.; 21, 15-25.";
"Кол. зач. 254; 2, 8-12.";"Кол. 254 зач.; 2, 8-12.";
"Кор. 131 зач.; 4, 9-16.";"1 Кор. 131 зач.; 4, 9-16.";
"Кор. 156 зач.; 14, 20-25.";"1 Кор. 156 зач.; 14, 20-25.";
"Лк. зач. 113; 24, 12-35.";"Лк. 113 зач.; 24, 12-35.";
"Лк. зач. 114; 24, 36-53.";"Лк. 114 зач.; 24, 36-53.";
"Лк. зач. 31; 7, 17-30.";"Лк. 31 зач.; 7, 17-30.";
"Лк. зач. 6; 2, 20-21; 40-52.";"Лк. 6 зач.; 2, 20-21; 40-52.";
"Лк. зач. 67.; 12, 32-40.";"Лк. 67 зач.; 12, 32-40.";
Лк., 51 зач., 10, 19–21.;"Лк. 51 зач.; 10, 19-21.";
"Мк. 71 зач.; 16, 9-20.";"Мр. 71 зач.; 16, 9-20.";
"Мр. – 70 зач.; 16, 1-8.";"Мр. 70 зач.; 16, 1-8.";
"Мр. зач. 2; 1, 9-11.";"Мр. 2 зач.; 1, 9-11.";
"Мр. зач. 71; 16, 9-20.";"Мр. 71 зач.; 16, 9-20.";
"Мт 89 зач.; 22, 1-14.";"Мт. 89 зач.; 22, 1-14.";
"Мт. зач. 2; 1, 18-25.";"Мт. 2 зач.; 1, 18-25.";
"Мт. зач. 40; 11, 2-15.";"Мт. 40 зач.; 11, 2-15.";
"Мт. зач. 56; 13, 54-58.";"Мт. 56 зач.; 13, 54-58.";
Мт., 4 зач., 2, 13–23.;"Мт. 4 зач.; 2, 13-23.";
"Мт., зач. 67; 16, 13-18.";"Мт. 67 зач.; 16, 13-18.";
Рим., 96 зач., 8, 3–9.;"Рим. 96 зач.; 8, 3–9.";
"Тим. 292 зач.; 2, 1-10.";"2 Тим. 292 зач.; 2, 1-10.";
"Тит 300 зач.; 1, 5 – 2, 1.";"Тит. 300 зач.; 1, 5 – 2, 1.";
"Юда 78 зач.; 1, 11-25.";"Юд. 78 зач.; 1, 11-25.";
"2 Кор. 180 зач.; 5, 15–21.";"2 Кор. 180 зач.; 5, 15-21.";
"Рим. 96 зач.; 8, 3–9.";"Рим. 96 зач.; 8, 3-9.";
"Ді. 1 зач.; 1-8.";"Ді. 1 зач.; 1, 1-8.";Максиму
"Ді. 33 зач.; 13, 25-32.";"Ді. 33 зач.; 13, 25-33.";
"Ді. 49 зач.; 26, 1-5. 12-20.";"Ді. 49 зач.; 26, 1-5; 12-20.";
"1 Пт. 58 зач.; 1, 1-2, 10-12; 2, 6-10.";"1 Пт. 58 зач.; 1, 1-2; 10-12; 2, 6-10.";
"Рим. 79 зач.; 1, 1-7. 13-17.";"Рим. 79 зач.; 1, 1-7; 13-17.";
Рим. 96 зач., 8, 3–9.;"Рим. 96 зач.; 8, 3–9.";
"1 Кор. 134 зач.; 5, 9 – 6, 11,";"1 Кор. 134 зач.; 5, 9 – 6, 11.";
1 Кор. 165 зач. 16, 4-12.;"1 Кор. 165 зач.; 16, 4-12.";
"2 Кор. 180 зач.; 5, 15–21.";"2 Кор. 180 зач.; 5, 15-21.";
Еф. 233 зач., 6, 10-17.;"Еф. 233 зач.; 6, 10-17.";
"Флп. 242 зач.; 2, 17-23.";"Флп. 242 зач.; 2, 16-23.";Максиму
"Кол. 249 зач.; 1, 3-6.";"Кол. 249 зач.; 1, 2-6.";Максиму
"Кол. 250 зач.; 1, 12-17.";"Кол. 250 зач.; 1, 12-18.";Максиму
"1 Тим. 280 зач.; 5, 15-17.";"1 Тим. 280 зач.; 1, 15-17.";Максиму
"1 Тим. 288 зач.; 6, 11 – 16.";"1 Тим. 288 зач.; 6, 11-16.";
"Євр. 306 зач.; 2, 11–18.";"Євр. 306 зач.; 2, 11-18.";
"Євр. 312 зач.; 5, 11 – 6, 8";"Євр. 312 зач.; 5, 11 – 6, 8.";
"Євр. 321 зач.; 9, 8-10, 15-23.";"Євр. 321 зач.; 9, 8-10; 15-23.";
"Євр. 328 зач.; 11, 9-10. 17-23. 32-40.";"Євр. 328 зач.; 11, 9-10; 17-23; 32-40.";
"Євр. 329 зач.; 11, 17-23, 27-31.";"Євр. 329 зач.; 11, 17-23; 27-31.";
"Йо. 9 зач.; 3, 13-17";"Йо. 9 зач.; 3, 13-17.";
"Йо. 42 зач.; 28-36.";"Йо. 42 зач.; 12, 28-36.";Максиму
"Йо. 56 зач.; 17, 1-13";"Йо. 56 зач.; 17, 1-13.";
"Йо. 60 зач.; 19, 6-11, 13-20, 25-28, 30-35.";"Йо. 60 зач.; 19, 6-11; 13-20; 25-28; 30-35.";
"Йо. 60 зач.; 9, 6-11; 13-20; 25-28; 30-35.";"Йо. 60 зач.; 19, 6-11; 13-20; 25-28; 30-35.";Максиму
"Йо. 61 зач.; 19, 25-27.";"Йо. 61 зач.; 19, 25-37.";Максиму
"Йо. 63 зач.; 12, 2-7.";"Лк. 63 зач.; 12, 2-7.";Максиму
"Йо. 86 зач.; 17, 1-13.";"Йо. 56 зач.; 17, 1-13.";перевірити зачало. нема такого.
"Лк. 4 зач.; 1, 39-49. 56.";"Лк. 4 зач.; 1, 39-49; 56.";
"Лк. 4 зач.; 1, 39-49, 56.";"Лк. 4 зач.; 1, 39-49; 56.";
"Лк. 6 зач.; 2, 20-21, 40-52.";"Лк. 6 зач.; 2, 20-21; 40-52.";
"Лк. 24 зач.; 6, 17-22.";"Лк. 24 зач.; 6, 17-23.";Максиму
"Лк. 48 зач.; (від половини) 9, 51-56; 10, 22-24.";"Лк. 48 зач. (від половини); 9, 51-56; 10, 22-24.";
Лк. 51 зач., 10, 19–21.;"Лк. 51 зач.; 10, 19-21.";
"Лк. 51 зач.; 10, 19–21.";"Лк. 51 зач.; 10, 19-21.";
"Лк. 54 зач.; 10, 32-42; 11, 27-28.";"Лк. 54 зач.; 10, 38-42; 11, 27-28.";Максиму
"Лк. 109 зач.; 22, 39-42; 45 – 23, 1";"Лк. 109 зач.; 22, 39-42; 45 – 23, 1.";
"Лк. 109 зач.; 22, 39-42; 45 – 23, 1";"Лк. 109 зач.; 22, 39-42; 45 – 23, 1.";
"Мр. 43 зач.; 10, 2-12. ";"Мр. 43 зач.; 10, 2-12.";
"Мр. 68 зач.; 15, 22, 25, 33-41.";"Мр. 68 зач.; 15, 22; 25; 33-41.";
Мт. 4 зач., 2, 13–23.;"Мт. 4 зач.; 2, 13-23.";
"Мт. 4 зач.; 2, 13–23.";"Мт. 4 зач.; 2, 13-23.";
"Мт. 11 зач.; 5, 4-19.";"Мт. 11 зач.; 15, 4-19.";Максиму
"Мт. 27 зач.; 8, 23-27.*";"Мт. 27 зач.; 8, 23-27.";
"Мт. 34 зач.; 9, 36 – 10, 8.<sup>⁎</sup>";"Мт. 34 зач.; 9, 36 – 10, 8.";
"Мт. 46 зач. (від половини); 12, 15-21.";"Мт. 46 зач.; 12, 15-21.";
"Мт. 100 зач.; 24, 27-33. 42-51.";"Мт. 100 зач.; 24, 27-33; 42-51.";
"1 Кр. 156 зач.; 14, 20-25.";"1 Кор. 156 зач.; 14, 20-25.";
"Мт.  4 зач.; 2, 13–23.";"Мт. 4 зач.; 2, 13–23.";
