0,1,2,3,4,5,6,7,8,9,10,,
Місяць,Дата,#wd,"День
тижня",Мінейні Святі,Формулювання для відпусту,"Окремий
святковий
відпуст?","Фаза
свята","Текст 
для 
заміни","Формулю-
вання 
свята","Текст відпусту, Літургія","Текст відпусту, ВУ",
Січень,01.01,4,чт,"🕀 Обрізання Господа Бога і Спаса нашого Ісуса Христа Св. Василія Великого, архиєп. Кесарії Каппадокійської",,так,свято,,,#N/A,#N/A,#N/A
Січень,02.01,5,пт,"Передсвяття Богоявлення Св. Сильвестра, папи Римського","святого Сильвестра, папи Римського",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого Сильвестра, папи Римського, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, і святого, якого є храм, і святого Сильвестра, папи Римського, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,03.01,6,сб,Передсвяття Богоявлення Св. прор. Малахії Св. мч. Гордія,"святого пророка Малахії, святого мученика Гордія",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святих і праведних богоотців Йоакима й Анни, і святого, якого є храм, і святого пророка Малахії, святого мученика Гордія, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святих і праведних богоотців Йоакима й Анни, і святого, якого є храм, і святого пророка Малахії, святого мученика Гордія, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,04.01,7,нд,"Субота перед Богоявленням Передсвяття Богоявлення Собор свв. сімдесяти апп. Прп. Теоктиста, ігум., що в Кукумі Сікелійській","собор святих сімдесяти апостолів, преподобного отця нашого Теоктиста, ігумена, що в Кукумі Сікелійській",ні,,,,"Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і собор святих сімдесяти апостолів, преподобного отця нашого Теоктиста, ігумена, що в Кукумі Сікелійській, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, і святого, якого є храм, і собор святих сімдесяти апостолів, преподобного отця нашого Теоктиста, ігумена, що в Кукумі Сікелійській, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,05.01,1,пн,Неділя перед Богоявленням Навечір’я Богоявлення Свв. мчч. Теопемпта й Теони Прп. Синклитікії Олександрійської,"святих мучеників Теопемпта й Теони, преподобної Синклитікії Олександрійської",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мучеників Теопемпта й Теони, преподобної Синклитікії Олександрійської, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, і святого, якого є храм, і святих мучеників Теопемпта й Теони, преподобної Синклитікії Олександрійської, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,06.01,2,вв,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,,так,свято,,,#N/A,#N/A,#N/A
Січень,07.01,3,ср,"🕃 Собор св. славн. прор., предтечі і хрестителя Господнього Івана","святого славного пророка, предтечі і хрестителя Господнього Івана, що його собору сьогодні пам'ять звершуємо",так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
Січень,08.01,4,чт,"Прп. Юрія Хозевіта Св. Еміліяна, ісп. Прп. Домніки","преподобного отця нашого Юрія Хозевіта, святого Еміліяна, ісповідника, преподобної матері нашої Домніки",так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
Січень,09.01,5,пт,Св. мч. Полієвкта,святого мученика Полієвкта,так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
