Місяць,Дата,#wd,"День
тижня",Мінейні святі,Префікс 1,Префікс 2,Ап1,Ап2,Єв1,Єв2
Січень,01.01,4,чт,"🕀 Обрізання Господа Бога і Спаса нашого Ісуса Христа Св. Василія Великого, архиєп. Кесарії Каппадокійської",Свята:,Св.:,#ap254,#ap318a,#lk006,#lk024
Січень,02.01,5,пт,"Передсвяття Богоявлення Св. Сильвестра, папи Римського",,,#ap327,,#mr041,
Січень,03.01,6,сб,Субота перед Богоявленням Передсвяття Богоявлення Св. прор. Малахії Св. мч. Гордія,Суботи:,,#ap284,,#mt005,
Січень,04.01,7,нд,"Неділя перед Богоявленням Передсвяття Богоявлення Собор свв. сімдесяти апп. Прп. Теоктиста, ігум., що в Кукумі Сікелійській",Перед Богоявленням:,,#ap298,,#mr001,
Січень,05.01,1,пн,Навечір’я Богоявлення Свв. мчч. Теопемпта й Теони Прп. Синклитікії Олександрійської,,,,,,
Січень,06.01,2,вв,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,,,#ap302a,,#mt006,
Січень,07.01,3,ср,"🕃 Собор св. славн. прор., предтечі і хрестителя Господнього Івана",Предтечі:,,#ap042,,#iv003,
Січень,08.01,4,чт,"Прп. Юрія Хозевіта Св. Еміліяна, ісп. Прп. Домніки",,,#ap051b,,#mr045,
Січень,09.01,5,пт,Св. мч. Полієвкта,,,#ap052,,#mr046,
Січень,10.01,6,сб,"Субота по Богоявленні Св. Григорія, єп. Ниського Прп. Дометіяна, єп. Мелітинського Прп. Маркіяна, пресвіт. й економа Великої Церкви",Суботи:,,#ap233,,#mt007,
Січень,11.01,7,нд,"Неділя по Богоявленні 🕂 Прп. Теодосія, спільного життя засновника",По Богоявленні:,Прп.:,#ap224b,#ap335,#mt008,#lk024
Січень,12.01,1,пн,Св. мц. Тетяни,,,#ap053,,#mr048,
Січень,13.01,2,вв,Свв. мчч. Єрмила і Стратоніка,,,#ap054,,#mr050,
Січень,14.01,3,ср,"Прпп., у Синаї і Раїті повбиваних Пам’ять переставл. св. рівноап. Ніни, просвітительки Грузії Віддання Богоявлення</i>",,,#ap055,,#mr051,
Січень,15.01,4,чт,🕃 Прпп. Павла Тивейського та Івана Кущника,,,#ap056,,#mr052,
Січень,16.01,5,пт,🕃 Поклін чесним оковам св. і всехв. ап. Петра,,,#ap058a,,#mr053,
Січень,17.01,6,сб,🕂 Прп. й богоносного Антонія Великого,Ряд.:,Прп.:,#ap273,#ap335,#lk084,#lk024
Січень,18.01,7,нд,Неділя про Закхея 🕃 Свв. і архиєпп. Олександрійських Атанасія й Кирила,Ряд.:,,#ap285c,,#lk094,
Січень,19.01,1,пн,🕃 Прп. Макарія Єгипетського,,,#ap059,,#mr054,
Січень,20.01,2,вв,🕂 Прп. й богоносного Євтимія Великого,Ряд.:,Прп.:,#ap060,#ap335,#mr055,#lk024
Січень,21.01,3,ср,"Прп. Максима Ісповідника Св. мч. Неофіта Свв. мчч. Євгенія, Кандида, Валеріяна й Акили",,,#ap061,,#mr056,
Січень,22.01,4,чт,Св. ап. Тимотея Св. прпмч. Анастасія Перського,,,#ap062,,#mr057,
Січень,23.01,5,пт,"Блаж. Пратулинських мчч. Св. сщмч. Климента, єп. Анкирського Св. мч. Агатангела",Мчч.:,,#ap233,,#mt036,
Січень,24.01,6,сб,Прп. Ксенії Римлянки,,,#ap293,,#lk088,
Січень,25.01,7,нд,"Неділя про митаря і фарисея 🕂 Св. Григорія Богослова, архиєп. Царгородського",Ряд.:,Св.:,#ap296,#ap151,#lk089,#iv036
Січень,26.01,1,пн,"Прп. Ксенофонта, дружини його Марії",,,#ap066,,#mr059,
Січень,27.01,2,вв,🕂 Перенесення чесних мощів св. Івана Золотоустого,Ряд.:,Св.:,#ap067,#ap318a,#mr060,#iv036
Січень,28.01,3,ср,🕃 Прп. Єфрема Сирійця,,,#ap068a,,#mr061,
Січень,29.01,4,чт,🕃 Перенесення мощів св. сщмч. Ігнатія Богоносця,,,#ap069,,#mr062,
Січень,30.01,5,пт,"🕁 Свв. трьох святителів, великих архиєреїв: Василія Великого, Григорія Богослова та Івана Золотоустого Св. сщмч. Іполита",Св.:,,#ap334,,#mt011,
Січень,31.01,6,сб,🕃 Свв. чудотв. і безср. Кира й Івана Прп. Івана Боско,,,#ap295,,#lk103,
Лютий,01.02,7,нд,Неділя про блудного сина 🕃 Передсвяття Стрітення Господа Бога і Спаса нашого Ісуса Христа Св. мч. Трифона,,,#ap135,,#lk079,
Лютий,02.02,1,пн,Тиждень м'ясопусний 🕀 Стрітення Господа Бога і Спаса нашого Ісуса Христа,Свята:,,#ap316,,#lk007,
Лютий,03.02,2,вв,"🕃 Св. і прав. Симеона Богоприємця і Анни, пророчиці",,,#ap072,,#mr064,
Лютий,04.02,3,ср,Прп. Ісидора Пилусіотського,,,#ap073b,,#mr065,
Лютий,05.02,4,чт,Св. мц. Агафії,,,#ap074,,#mr066,
Лютий,06.02,5,пт,"Прп. Вукола, єп. Смирнського Св. сщмч. Сілвана, єп. Ємеського, і тих, що з ним",,,#ap075,,#mr068,
