Місяць,Дата,#wd,"День
тижня",Мінейні святі,Префікс 1,Префікс 2,Ап1,Ап2,Єв1,Єв2
Вересень,01.09,2,вв,"🕂 Початок індикту, нового року Пам’ять прп. Симеона Стовпника і матері його Марти Собор Пресв. Богородиці, що в Міясинах",Ряд.:,Новоліттю:,#ap196,#ap282,#mr017,#lk013
Вересень,02.09,3,ср,"Св. мч. Маманта Прп. Івана Посника, патр. Царгородського",,,#ap197,,#mr018,
Вересень,03.09,4,чт,"Св. сщмч. Антима, єп. Нікомидійського Прп. Теоктиста, співпосника вел. Євтимія",,,#ap198,,#mr019,
Вересень,04.09,5,пт,"Св. сщмч. Вавили, єп. Антіохійського Св. прор. й боговидця Мойсея",,,#ap201,,#mr020,
Вересень,05.09,6,сб,"🕃 Свв. прор. Захарії та прав. Єлисавети, батьків чесного Івана Предтечі Прп. Терези з Калькутти",,,#ap130b,,#mt093,
Вересень,06.09,7,нд,"Неділя 14-та по Зісланні Святого Духа. 🕃 Спогад про чудо, яке було в Колосах, тобто в Хонах, від архистр. Михаїла Св. мч. Євдоксія і тих, що з ним Прп. Архипа",,,#ap170,,#mt089,
Вересень,07.09,1,пн,🕃 Передсвяття Різдва Пресвятої Богородиці Св. мч. Созонта,,,#ap202,,#mr021,
Вересень,08.09,2,вв,🕀 Різдво Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,,,#ap240,,#lk054,
Вересень,09.09,3,ср,🕃 Свв. і правв. богоотців Йоакима й Анни Св. мч. Северіана,,,#ap207,,#mr023,
Вересень,10.09,4,чт,"Свв. мцц. Минодори, Митродори й Німфодори",,,#ap208a,,#mr025,
Вересень,11.09,5,пт,Прп. Теодори Олександрійської,,,#ap210a,,#mr026,
Вересень,12.09,6,сб,Субота перед Воздвиженям Св. сщмч. Автонома Віддання Різдва Пресв. Богородиці</i>,Суботи:,,#ap126,,#mt039,
Вересень,13.09,7,нд,"Неділя перед Воздвиженям 🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого Предсвяття Воздвиження чесного й животворного Хреста Св. сщмч. Корнилія, сотника",Перед Воздвиж.:,Оновлення:,#ap215a,#ap307,#iv009,#mt067a
Вересень,14.09,1,пн,🕀 Всесвітнє Воздвиження чесного й животворчого Хреста,,,#ap125b,,#iv060,
Вересень,15.09,2,вв,🕃 Св. вмч. Микити,,,#ap212,,#mr028,
Вересень,16.09,3,ср,🕃 Св. вмц. Євфимії всехвальної,,,#ap214,,#mr029,
Вересень,17.09,4,чт,"Св. мц. Софії і трьох її дочок: Віри, Надії й Любові",,,#ap216,,#mr030,
Вересень,18.09,5,пт,"Прп. Євменія, єп. Гортинського, чудотв.",,,#ap217,,#mr032,
Вересень,19.09,6,сб,"Субота по Воздвиженні Свв. мчч. Трофима, Савватія й Доримедонта",Суботи:,,#ap125c,,#iv030,
Вересень,20.09,7,нд,"Неділя по Воздвиженні 🕃 Свв. мчч. та іспп. – вел. князя Михаїла та боярина його Теодора, чернігівських чудотв. 🕃 Св. вмч. Євстатія і тих, що з ним",По Воздвиженні:,,#ap203,,#mr037,
Вересень,21.09,1,пн,"Св. ап. Кодрата, що в Магнисії Віддання Воздвиження чесного й животворного Хреста</i>",,,#ap219,,#mr048,
Вересень,22.09,2,вв,"Св. сщмч. Фоки, єп. Синопійського Св. прор. Йони Прп. Йони, пресвіт.",,,#ap222,,#mr050,
Вересень,23.09,3,ср,"🕃 Зачаття чесного славн. прор., предтечі і хрестителя Господнього Івана",Ряд.:,Предтечі:,#ap223,#ap210b,#mr051,#lk002
Вересень,24.09,4,чт,🕃 Св. первмц. й рівноап. Теклі,,,#ap225,,#mr052,
Вересень,25.09,5,пт,Прп. Євфросинії,,,#ap226,,#mr053,
Вересень,26.09,6,сб,🕁 Переставл. св. ап. і єв. Івана Богослова,Ап.:,,#ap073a,,#iv061b,
Вересень,27.09,7,нд,"Неділя 17-та по Зісланні Святого Духа. Св. мч. Калістрата і тих, що з ним Прп. Ніла, основника й ігум. монастиря Гроттаферратського",,,#ap182b,,#mt062,
Вересень,28.09,1,пн,"🕂 Прп. й ісп. Харитона Св. мц. Людмили і св. В’ячеслава, князя чеського Собор прпп. отців Печерських, що споч. у бл. печерах прп. Антонія Блаж. сщмч. Никити Будки, єп.",Ряд.:,Ісп.:,#ap227,#ap176,#lk010,#lk024
Вересень,29.09,2,вв,"🕃 Прп. Киріака, самітника",,,#ap230,,#lk011,
Вересень,30.09,3,ср,"🕃 Св. сщмч. Григорія, єп. Великої Вірменії",,,#ap231,,#lk012,
Жовтень,01.10,4,чт,"🕀 Покров Пресвятої Богородиці Св. ап. Ананії, одного із сімдесятьох Прп. Романа Сладкопівця",,,#ap320,,#lk054,
Жовтень,02.10,5,пт,"🕃 Св. сщмч. Кипріана Св. мц. Юстини Св. Андрія, Христа ради юродивого",,,#ap234,,#lk014,
Жовтень,03.10,6,сб,🕃 Св. сщмч. Діонісія Ареопагіта,,,#ap162,,#lk015,
Жовтень,04.10,7,нд,"Неділя 18-та по Зісланні Святого Духа. Св. сщмч. Єротея, єп. Атенського Прп. Франциска Асизького",Ряд.:,,#ap188,,#lk017,
Жовтень,05.10,1,пн,Св. мц. Харитини,,,#ap235,,#lk016,
